id,q43_%dd,q43_%dr,q43_%dtotal,
41037,2,House,85,
41039,4,House,2077,
41041,5,House,402,
41043,4,House,1090,
41045,2,House,270,
41047,5,House,3468,
41049,2,House,83,
41051,1,House,1264,
41051,3,House,7144,
41051,5,House,344,
41053,5,House,539,
41055,2,House,32,
41057,5,House,233,
41059,2,House,704,
41061,2,House,336,
41063,2,House,87,
41065,2,House,281,
41067,1,House,7434,
41069,2,House,25,
41071,1,House,1152,
19045,1,House,332,
19047,5,House,185,
19049,4,House,367,
19059,5,House,314,
19061,1,House,980,
19063,4,House,118,
19067,4,House,295,
19073,4,House,180,
19075,3,House,138,
19079,4,House,231,
19081,4,House,199,
19083,4,House,221,
19085,5,House,195,
19087,2,House,241,
19089,4,House,188,
19091,4,House,143,
19093,5,House,71,
19095,3,House,274,
19101,2,House,332,
19103,2,House,962,
19105,1,House,254,
19107,3,House,210,
19109,4,House,143,
19111,2,House,505,
19125,3,House,274,
19127,4,House,281,
19129,5,House,129,
19131,4,House,230,
19133,5,House,274,
19135,99,,None,
19139,2,House,327,
19141,5,House,None,
19147,5,House,292,
19151,4,House,123,
19155,5,House,840,
19157,3,House,165,
19163,1,House,895,
19165,5,House,261,
19171,3,House,153,
19177,2,House,110,
19181,4,House,877,
19187,4,House,511,
27135,7,House,96,
27137,8,House,790,
27139,2,House,693,
27141,6,House,255,
27143,7,House,283,
27145,6,House,408,
27145,7,House,135,
27147,1,House,160,
27149,7,House,122,
27151,7,House,81,
27153,7,House,263,
27155,7,House,37,
27157,1,House,97,
27159,8,House,156,
27161,1,House,72,
27163,2,House,276,
27163,4,House,693,
27163,6,House,591,
27165,1,House,59,
27167,7,House,28,
27169,1,House,241,
27171,6,House,470,
27173,7,House,87,
40095,4,House,138,
40097,2,House,327,
40099,4,House,235,
40101,2,House,447,
40103,3,House,110,
