,State,County,Tract,Drive,Carpooled,Transit,Walked,Other,MBSA,Service,Office,Construction,Production,IRural,IConstruction,IManufacturing,IWholesale,IRetail,IUtilities,IInformation,IFinance,IProfessional,ISocial,IRecreation,IOther,IPublic
0,AL,Autauga,12370.15,106395.0,11315.0,360.0,1030.0,1015.0,35695.0,20595.0,35380.0,14080.0,15955.0,1150.0,9420.0,17195.0,3790.0,15415.0,5385.0,1370.0,7950.0,8515.0,21215.0,10560.0,5540.0,14200.0
1,AL,Baldwin,66543.65,322295.0,40555.0,1205.0,5555.0,3830.0,123755.0,68935.0,105525.0,52935.0,41450.0,7310.0,42050.0,36150.0,14420.0,54070.0,21020.0,6800.0,26890.0,38745.0,70360.0,37390.0,19355.0,18040.0
2,AL,Barbour,427725.0,38155.0,7125.0,150.0,1135.0,805.0,13170.0,7755.0,10575.0,5125.0,12920.0,2030.0,3145.0,14000.0,630.0,6185.0,3925.0,405.0,1880.0,1940.0,7435.0,2895.0,1960.0,3115.0
3,AL,Bibb,2000.5,40460.0,5005.0,250.0,420.0,595.0,9860.0,6490.0,11230.0,9115.0,12400.0,1875.0,5225.0,8840.0,1115.0,6730.0,5120.0,395.0,2810.0,2295.0,6745.0,1930.0,4055.0,1960.0
4,AL,Blount,22675.3,96675.0,17105.0,65.0,1760.0,385.0,30460.0,19800.0,31660.0,19465.0,22145.0,3920.0,13585.0,20730.0,4740.0,14290.0,8600.0,1760.0,5715.0,8270.0,21640.0,8005.0,7240.0,5035.0
5,AL,Bullock,142840.0,16735.0,3025.0,0.0,370.0,290.0,4570.0,3340.0,5230.0,2555.0,5855.0,2260.0,2535.0,3970.0,625.0,2715.0,1735.0,590.0,155.0,395.0,3115.0,1220.0,530.0,1705.0
6,AL,Butler,428895.0,34555.0,3490.0,170.0,225.0,610.0,9050.0,7225.0,10600.0,4580.0,9235.0,1525.0,2290.0,9130.0,1060.0,5300.0,2105.0,505.0,1985.0,2065.0,7180.0,3585.0,895.0,3065.0
7,AL,Calhoun,149335.89999999994,199025.0,22080.0,760.0,2390.0,3795.0,66105.0,38350.0,56645.0,28390.0,49110.0,2295.0,13040.0,43970.0,6030.0,28330.0,12195.0,4230.0,8690.0,16965.0,47860.0,20810.0,11840.0,22345.0
8,AL,Chambers,429420.0,54640.0,8225.0,130.0,385.0,770.0,16060.0,9550.0,17600.0,9440.0,15745.0,820.0,6700.0,16575.0,1360.0,8325.0,3785.0,1970.0,2545.0,6110.0,11715.0,3185.0,3455.0,1850.0
9,AL,Cherokee,286760.15,39850.0,8650.0,0.0,250.0,1550.0,13265.0,8020.0,10645.0,7385.0,13425.0,1220.0,4535.0,13080.0,1550.0,6225.0,3490.0,745.0,1530.0,1075.0,10310.0,3025.0,3650.0,2305.0
