,level_0,State,County,Est. Citizen VAP,Active Registrations,Ballots Counted,Polling Places,Poll Workers,Year,Hours Open,Time to Vote
1563,1563,NE,Hall,37088,32356,21346,33,146,2004,12,107.20895014989028
1564,1564,NE,Hamilton,7102,7041,4906,9,50,2004,12,46.009656347628514
1565,1565,NE,Harlan,2895,2614,1949,7,45,2004,12,86.73040152963671
1566,1566,NE,Hayes,839,822,604,2,15,2004,12,26.245443499392465
1567,1567,NE,Hitchcock,2427,2060,1516,4,22,2004,12,30.74235807860262
1568,1568,NE,Holt,8272,7938,5294,21,115,2004,12,219.02002771129864
1569,1569,NE,Hooker,578,635,470,1,5,2004,12,5.660377358490566
1570,1570,NE,Howard,5184,4711,3038,7,40,2004,12,42.78438030560272
1571,1571,NE,Jefferson,6205,5954,4126,8,50,2004,12,48.36272040302267
1572,1572,NE,Johnson,3408,3236,2451,8,40,2004,12,71.17701575532901
1573,1573,NE,Kearney,5195,4820,3434,12,60,2004,12,107.5295581829496
1574,1574,NE,Keith,6310,6507,4155,7,59,2004,12,45.691456668715425
1575,1575,NE,Keya Paha,721,742,566,4,20,2004,12,77.5235531628533
1576,1576,NE,Kimball,2868,2947,1901,3,25,2004,12,18.31750339213026
1577,1577,NE,Knox,6879,6187,4283,10,87,2004,12,101.22818358112475
1578,1578,NE,Lancaster,196425,173923,128638,169,1054,2004,12,737.3951841034014
1579,1579,NE,Lincoln,26314,25053,16508,25,138,2004,12,99.14584497485431
1580,1580,NE,Logan,546,568,433,1,5,2004,12,6.3268892794376095
1581,1581,NE,Loup,592,522,403,1,5,2004,12,6.8833652007648185
1582,1582,NE,McPherson,415,384,318,1,5,2004,12,9.35064935064935
1583,1583,NE,Madison,25324,22246,14287,19,134,2004,12,82.39852564390705
1584,1584,NE,Merrick,6154,5827,3709,10,59,2004,12,72.88949897048731
1585,1585,NE,Morrill,3921,3493,2320,6,34,2004,12,42.03777904979966
1586,1586,NE,Nance,2672,2545,1759,5,26,2004,12,36.763550667714064
1587,1587,NE,Nemaha,5508,5146,3772,9,58,2004,12,73.0211773848844
1588,1588,NE,Nuckolls,3847,3582,2528,6,41,2004,12,49.43343566843427
1589,1589,NE,Otoe,11700,11233,7474,18,95,2004,12,109.59586968132454
1590,1590,NE,Pawnee,2204,2203,1531,6,35,2004,12,68.60254083484574
1591,1591,NE,Perkins,2294,2202,1573,6,30,2004,12,58.82886972310486
1592,1592,NE,Phelps,7165,6994,4782,13,64,2004,12,85.63831308077198
1593,1593,NE,Pierce,5778,4976,3428,7,40,2004,12,40.50632911392405
1594,1594,NE,Platte,21902,20226,14148,27,156,2004,12,149.93029119493747
1595,1595,NE,Polk,4289,3838,2783,6,35,2004,12,39.385256577233655
1596,1596,NE,Red Willow,8562,8092,5329,17,85,2004,12,128.5555418262696
1597,1597,NE,Richardson,6862,6777,4334,15,75,2004,12,119.50427854824432
1598,1598,NE,Rock,1238,1148,903,5,15,2004,12,46.99738903394256
1599,1599,NE,Saline,10324,8682,5662,13,70,2004,12,75.45779108603017
1600,1600,NE,Sarpy,95653,82617,58785,67,405,2004,12,236.4763126679416
1601,1601,NE,Saunders,14958,13819,10440,17,96,2004,12,85.02460202604921
1602,1602,NE,Scotts Bluff,27272,23867,14632,22,151,2004,12,100.21116138763198
1603,1603,NE,Seward,12925,10936,7689,16,80,2004,12,84.26442351650361
1604,1604,NE,Sheridan,4378,4543,2672,5,40,2004,12,31.690140845070424
1605,1605,NE,Sherman,2414,2413,1681,6,30,2004,12,53.68682684341342
1606,1606,NE,Sioux,1222,1093,826,2,10,2004,12,13.162705667276052
1607,1607,NE,Stanton,4812,4086,2767,6,36,2004,12,38.0523611450942
1608,1608,NE,Thayer,4321,4096,2919,6,35,2004,12,36.9050524774225
1609,1609,NE,Thomas,552,553,451,3,12,2004,12,46.7870036101083
1610,1610,NE,Thurston,4584,4534,2435,8,42,2004,12,53.34509371554576
1611,1611,NE,Valley,3552,3612,2446,6,35,2004,12,41.84887904788265
1612,1612,NE,Washington,15184,12942,10042,14,80,2004,12,62.30394808004327
1613,1613,NE,Wayne,7428,6613,4115,9,53,2004,12,51.92621711521016
1614,1614,NE,Webster,2997,2771,2028,5,25,2004,12,32.467532467532465
1615,1615,NE,Wheeler,595,624,463,2,12,2004,12,27.648
1616,1616,NE,York,10941,11100,6875,8,65,2004,12,33.72669128907306
1617,1617,NV,Churchill,16071,13288,10260,1,59,2004,12,3.1966287907291746
1618,1618,NV,Clark,1065272,684313,546858,329,3762,2004,12,1302.2421870661715
1619,1619,NV,Douglas,34629,26032,23959,21,108,2004,12,62.72653939230976
1620,1620,NV,Elko,27308,20885,15339,9,97,2004,12,30.094800344728526
1621,1621,NV,Esmeralda,667,736,485,3,12,2004,12,35.1696065128901
1622,1622,NV,Eureka,943,834,739,2,10,2004,12,17.24550898203593
1623,1623,NV,Humboldt,9426,6022,5378,5,59,2004,12,35.26481819691184
1624,1624,NV,Lander,3047,2457,2055,1,26,2004,12,7.615947925142392
1625,1625,NV,Lincoln,3095,2858,2056,4,16,2004,12,16.117523609653723
1626,1626,NV,Lyon,31212,22859,17202,8,120,2004,12,30.236220472440944
1627,1627,NV,Mineral,3723,3138,2335,5,36,2004,12,41.287034087288944
1628,1628,NV,Nye,27963,20693,14555,6,137,2004,12,28.5995940852421
1629,1629,NV,Pershing,4561,2280,1924,2,19,2004,12,11.994739149495835
1630,1630,NV,Storey,3023,2561,2177,5,33,2004,12,46.37002341920375
1631,1631,NV,Washoe,259667,233811,159511,118,889,2004,12,323.0349169418165
1632,1632,NV,White Pine,6416,4708,3817,5,50,2004,12,38.22467615204927
1633,1633,NV,Carson City,39946,26394,23183,2,104,2004,12,5.673801856412199
1634,1634,NJ,Atlantic,186786,138390,107187,123,904,2004,12,578.4931101010903
1635,1635,NJ,Bergen,600148,522490,401845,326,29991,2004,12,13472.935457261465
1636,1636,NJ,Burlington,334514,264532,208540,171,1678,2004,12,780.9814276479683
1637,1637,NJ,Camden,367404,286552,223394,217,1509,2004,12,822.7663294399291
1638,1638,NJ,Cape May,79218,63889,51163,57,1500,2004,12,963.5310690248865
1639,1639,NJ,Cumberland,108080,75229,53375,69,475,2004,12,313.678053967832
1640,1640,NJ,Essex,502423,364166,291319,318,2566,2004,12,1613.302029014161
1641,1641,NJ,Gloucester,203506,161204,128590,117,944,2004,12,493.300828138085
1642,1642,NJ,Hudson,345250,253136,191849,249,2100,2004,12,1487.2894914611456
1643,1643,NJ,Hunterdon,95961,81400,67107,43,460,2004,12,174.9560816206189
1644,1644,NJ,Mercer,254149,190995,152941,170,1200,2004,12,769.021340761063
1645,1645,NJ,Middlesex,508183,383296,297315,245,2628,2004,12,1209.451678463437
1646,1646,NJ,Monmouth,450312,407776,301655,311,2500,2004,12,1372.8091579466227
1647,1647,NJ,Morris,336178,279912,235920,216,1745,2004,12,969.5241021317338
1648,1648,NJ,Ocean,418999,328652,257364,217,1660,2004,12,789.1557356847495
1649,1649,NJ,Passaic,298603,254569,176333,166,1456,2004,12,683.5884825391837
