,County,State,Total Pop.,VAP Males,VAP Females,Pop. 20 to 24,Pop. 25 to 34,Pop. 35 to 44,Pop. 45 to 54,Pop. 65 to 74,Pop. 75 to 84,Pop. 85+,Race Total Pop.,White,Black,Native,Asian,Islander,Other,Pop. 0 to 9,Pop. 10 to 19,Pop. 55 to 64,State Name,Active Voters,Ballots Cast,Polling Places,Poll Workers,Hours Open,Time to Vote
511,Bartholomew,IN,82753,27724,28359,4472,12297,10198,10752,7589,4804,1156,82753,73557,2437,0,7360,0,1695,11399,9954,10132,INDIANA,46792,26876,18.0,90.0,12,24.92733800649151
512,Hamilton,IN,330086,109646,119228,17178,38113,51017,48172,24820,11542,4946,330086,294520,16938,1117,24161,562,3588,45649,50602,38047,INDIANA,220267,138843,120.0,1000.0,12,392.2512223800936
513,Wyandotte,KS,165324,47168,51342,10090,23865,22722,18834,12322,6417,1605,165324,101737,39036,2887,9014,0,19278,26662,23348,19459,KANSAS,75597,43915,31.0,279.0,12,82.37469740861643
514,Jefferson,KY,770517,269425,300299,47325,113938,96320,95158,73082,35460,15879,770517,561986,180335,5452,27881,645,14313,96003,93063,104289,KENTUCKY,598335,291985,239.0,2175.0,12,625.5258341898664
515,Bossier Parish,LA,127185,45670,47746,9468,18581,18328,13473,10598,4911,2125,127185,91098,30256,714,3398,0,3357,18346,15993,15362,LOUISIANA,66889,34690,48.0,383.0,12,197.88724603444544
516,Iberia Parish,LA,70941,24334,26971,4842,8252,8301,8954,6346,3209,826,70941,45475,24274,0,2360,0,0,8767,11652,9792,LOUISIANA,46013,22256,41.0,280.0,12,179.63618977241657
517,St. Tammany Parish,LA,258111,90883,100350,13561,29175,32660,34614,26701,12307,4636,258111,216895,34445,3562,5514,0,1572,30105,37776,36576,LOUISIANA,167783,96369,64.0,621.0,12,170.55172454896083
518,Allegany,MD,70975,30840,27446,5998,8407,7907,9394,7659,5356,1132,70975,63652,7813,211,428,0,488,6668,8801,9653,MARYLAND,42990,24002,36.0,321.0,12,193.5408234472683
519,Calvert,MD,92003,34420,35762,5351,11335,10631,14076,8347,3573,1555,92003,76691,13305,927,2781,0,1062,9542,13497,14096,MARYLAND,65256,39881,23.0,229.0,12,58.11327694004259
520,Harford,MD,253956,93636,100439,16325,29996,31434,36757,24914,12301,4790,253956,207059,39817,2285,9949,733,4256,30248,31603,35588,MARYLAND,180209,111600,63.0,735.0,12,185.00518842010194
521,Berrien,MI,154141,55960,60300,9015,17258,17740,19456,17326,8456,4686,154141,127319,24903,1685,4166,0,2055,18101,19590,22513,MICHIGAN,102161,63213,57.0,430.0,12,172.73910787872353
522,Calhoun,MI,134487,48608,53073,7752,16799,15349,17611,13532,6792,3723,134487,114887,17810,1939,4571,0,1235,16911,17594,18424,MICHIGAN,83677,50866,41.0,443.0,12,156.28380558574563
523,Isabella,MI,70562,27819,29485,13352,8202,7026,7371,5388,2716,990,70562,62664,2731,3797,1789,0,1425,6226,11654,7637,MICHIGAN,35847,22852,25.0,192.0,12,96.40974140092716
