,County,State,Total Pop.,VAP Males,VAP Females,Pop. 20 to 24,Pop. 25 to 34,Pop. 35 to 44,Pop. 45 to 54,Pop. 65 to 74,Pop. 75 to 84,Pop. 85+,Race Total Pop.,White,Black,Native,Asian,Islander,Other,Pop. 0 to 9,Pop. 10 to 19,Pop. 55 to 64,State Name,Active Voters,Ballots Cast,Polling Places,Poll Workers,Hours Open,Time to Vote
169,Sarasota,FL,426718,162954,183165,16847,34511,37229,46702,79335,55058,22673,426718,395672,22442,2834,9645,656,3878,30484,37536,66343,FLORIDA,318384,213220,83.0,697.0,12,130.82541836272767
170,Sumter,FL,128754,58331,58679,2178,7278,8396,8700,42145,26161,4848,128754,115354,10883,549,1462,0,1609,4185,6538,18325,FLORIDA,96497,74978,26.0,340.0,12,65.9585272080929
171,Honolulu,HI,980080,358479,346118,69267,147846,126401,116666,94410,48929,30273,980080,371257,45077,18655,603493,251965,31141,118532,110893,116863,HAWAII,479182,262700,144.0,2190.0,12,473.84751514037515
172,Bannock,ID,87138,31164,31787,6463,13490,10605,8915,7360,3368,1616,87138,80828,1232,4008,2278,448,1079,12113,12999,10209,IDAHO,45504,29444,32.0,260.0,12,131.64556962022425
173,Kootenai,ID,161505,60587,62892,9039,21632,19145,19346,18143,9799,2611,161505,155087,1651,3667,3084,1115,1411,20673,19201,21916,IDAHO,84103,57232,53.0,360.0,12,163.34256804154867
174,Rock Island,IL,143477,50622,54951,8543,16259,18146,17364,14839,8781,3289,143477,119933,18019,899,4692,454,6160,17393,18990,19873,ILLINOIS,99176,51283,38.0,253.0,12,69.79591836733991
175,Boone,IN,66999,23743,24510,3218,8194,8537,9844,5213,2067,1472,66999,63125,1701,784,2153,0,1128,9083,10409,8962,INDIANA,45710,27789,10.0,50.0,12,7.875738350468634
176,Wayne,IN,65936,23405,26933,4328,8381,7385,8075,6850,3748,1847,65936,61473,5394,600,697,0,0,7633,8678,9011,INDIANA,38249,20146,9.0,64.0,12,10.842636408792167
177,Ouachita Parish,LA,154475,53200,60255,9891,22358,18717,17860,13420,7236,2196,154475,92841,58906,796,2176,0,2534,22645,21200,18952,LOUISIANA,98716,48844,49.0,376.0,12,134.37821629724317
178,Anne Arundel,MD,576031,211692,216140,38503,81256,77482,77876,50315,25235,9261,576031,435755,111435,7491,32648,1218,20851,69742,69602,76759,MARYLAND,385874,231897,152.0,2282.0,12,647.2114731751648
179,Lenawee,MI,98266,37493,38067,6618,11154,11298,12712,10879,5083,2130,98266,94794,3872,1298,719,0,293,10845,12794,14753,MICHIGAN,62350,41972,30.0,302.0,12,104.62229350439381
180,Blue Earth,MN,67427,25975,26119,10797,9584,7111,6302,5193,2665,1589,67427,62259,3315,527,2295,0,637,7951,9040,7195,MINNESOTA,38713,28291,26.0,294.0,12,142.166197401353
181,Dakota,MN,425423,145881,157688,24111,55582,58839,54821,35378,17443,6412,425423,364245,36641,5302,25700,0,10789,56434,56831,59572,MINNESOTA,269353,208724,136.0,1684.0,12,612.1976736846958
182,Ramsey,MN,550210,184553,205283,39359,91902,68688,61123,46131,21759,11530,550210,384410,79671,10620,89660,641,15405,75087,67723,66908,MINNESOTA,320410,247605,155.0,1766.0,12,615.1043974906958
183,Harrison,MS,206650,73567,78373,14859,28392,26351,25171,18652,9491,2845,206650,145427,55835,1214,8020,1231,1466,29032,25134,26723,MISSISSIPPI,124338,51723,54.0,270.0,12,84.42793031896247
184,Hinds,MS,237085,80704,97874,17908,34657,28982,26967,19901,9528,3850,237085,61240,174304,325,2183,0,965,29531,35932,29829,MISSISSIPPI,153919,79366,110.0,550.0,12,283.0059966605628
185,Flathead,MT,102106,39282,39725,5214,11606,13114,12023,12612,5943,1403,102106,97772,495,2660,1996,0,889,11617,12718,15856,MONTANA,60031,47978,27.0,361.0,12,116.90359980674702
186,Bernalillo,NM,678701,238712,257721,45647,100100,87474,82327,66685,30844,13687,678701,556725,28573,42494,24651,1006,58095,73203,90469,88265,NEW MEXICO,242143,242353,79.0,661.0,12,155.27056326219815
187,Bronx,NY,1432132,383501,468738,104329,230160,181132,179609,101971,60006,21188,1432132,358929,548317,18710,65784,4485,503600,197250,196162,160325,NEW YORK,721734,292565,190.0,4991.0,12,946.0116885168089
188,Chautauqua,NY,127939,49494,51470,7752,15435,13759,15620,14268,7411,3908,127939,118691,4689,1248,1249,0,4538,13658,16215,19913,NEW YORK,76459,44505,51.0,369.0,12,177.21497796202183
189,Chemung,NY,84254,30943,34528,4974,9789,9483,10979,9519,5189,1905,84254,77424,7393,485,1751,0,616,10861,8791,12764,NEW YORK,50215,30464,43.0,349.0,12,215.1755451557871
190,Nassau,NY,1358343,463760,508033,86361,159096,163265,189199,132963,69184,39183,1358343,948661,180030,11761,150097,1314,105846,153500,170728,194864,NEW YORK,949987,508302,368.0,5172.0,12,1442.5177607693427
191,Orange,NY,381951,132866,135142,27763,45386,45399,52407,31913,14421,7057,381951,291776,51738,5682,15060,0,34676,50296,58652,48657,NEW YORK,220262,125924,121.0,1535.0,12,607.1369550807399
192,Brunswick,NC,136744,53321,60444,5691,11840,11715,16092,29382,11578,2703,136744,118627,15728,1547,0,0,1908,10590,13089,24064,NORTH CAROLINA,89532,59367,26.0,268.0,12,56.035383996777014
193,Buncombe,NC,259103,95850,109280,14897,34995,34717,33705,30369,13941,7511,259103,235881,18347,2772,4533,653,3043,25478,27120,36370,NORTH CAROLINA,169368,119837,81.0,479.0,12,164.9383590760849
194,Forsyth,NC,379099,123190,146884,25400,49298,45203,50182,35754,17520,7111,379099,255460,107529,4426,10782,0,11263,44994,54062,49575,NORTH CAROLINA,218634,137750,102.0,544.0,12,182.73168857541907
195,Nash,NC,94016,33322,37652,5191,10855,12078,12270,10666,4925,1855,94016,50649,39079,2136,0,0,3975,10866,11676,13634,NORTH CAROLINA,57092,37389,25.0,184.0,12,58.01163035100224
196,Onslow,NC,197683,83755,64067,32441,35575,20559,16593,10427,5999,1610,197683,159074,35116,4771,7743,1300,5444,31221,27451,15807,NORTH CAROLINA,83174,38387,25.0,220.0,12,47.611032293739925
197,Wilkes,NC,68557,25292,27384,3793,7752,7306,9768,8390,5008,1297,68557,63862,3948,0,471,0,1437,7406,7617,10220,NORTH CAROLINA,36544,23065,29.0,163.0,12,93.1326619964719
198,Clermont,OH,205466,75160,80112,11654,25733,26111,27457,20034,9755,3187,205466,199533,4907,1250,3626,0,1317,26929,24977,29629,OHIO,141345,81257,64.0,661.0,12,215.4931550461484
199,Cuyahoga,OH,1243857,445847,510181,78984,176068,142943,154374,125549,68780,31808,1243857,815544,393663,12607,50439,1867,19243,137156,150436,177759,OHIO,902652,495865,347.0,4179.0,12,1156.6820435782433
200,Delaware,OH,204826,70073,72950,12153,19556,30910,30176,16937,7736,2905,204826,182656,9650,852,16216,0,1757,27501,31883,25069,OHIO,141937,96532,49.0,760.0,12,188.90634577311135
201,Franklin,OH,1310300,447152,488126,88600,239951,175239,155347,95467,43894,18180,1310300,905542,333341,17281,85598,2207,27973,174662,170203,148757,OHIO,881645,495362,356.0,3274.0,12,951.8476030601779
202,Hamilton,OH,816684,287539,319928,53323,125104,96712,98142,71904,36216,16897,816684,571230,229033,5947,28999,1586,8052,102192,107610,108584,OHIO,597883,345811,346.0,2263.0,12,942.9245521280762
203,Medina,OH,179146,66611,70194,9099,19628,22615,25803,18922,10152,3000,179146,173724,3941,1087,2818,0,1377,19935,24217,25775,OHIO,124922,76395,55.0,544.0,12,172.44680680743406
204,Montgomery,OH,532331,190196,212515,34993,72345,61136,65056,53821,28177,13646,532331,402503,121914,6149,15602,1098,5298,64082,67234,71841,OHIO,381738,209282,174.0,1477.0,12,484.7265925844301
205,Warren,OH,232173,83831,82640,12049,27539,31796,33952,20150,8791,4439,232173,208736,9865,1263,15964,0,443,25761,36862,30834,OHIO,160431,101516,66.0,782.0,12,231.63004656205896
206,Canadian,OK,144447,50773,53286,8156,21698,20321,17553,11559,4558,2714,144447,123631,6908,11668,5273,0,7034,20525,20596,16767,OKLAHOMA,71090,46117,48.0,158.0,12,76.81080320719133
207,Greenville,SC,514213,174274,193497,33223,71604,65414,67556,48406,23827,8754,514213,384256,97057,8789,16009,1863,20241,63935,66399,65095,SOUTH CAROLINA,353629,178353,198.0,1064.0,12,428.93495725745265
208,Lexington,SC,295032,104269,115222,15240,40514,38470,39856,28755,13092,4925,295032,238343,48024,2727,7473,716,6099,36026,38716,39438,SOUTH CAROLINA,197009,100372,99.0,683.0,12,247.11683222592634
209,Pennington,SD,111729,42141,42774,6274,15503,12316,13023,12496,5150,2828,111729,97382,3169,14665,2270,0,465,12555,15521,16063,SOUTH DAKOTA,72108,41946,31.0,136.0,12,42.096854717917275
210,Bradley,TN,106727,38191,41853,8117,12918,12906,14683,10508,5300,2214,106727,97216,7126,1049,1422,323,3484,11106,15327,13648,TENNESSEE,63972,34256,17.0,113.0,12,21.620709060210462
211,Greene,TN,69087,26999,28782,4291,7311,8411,9440,8574,5075,1160,69087,66475,3154,0,0,0,796,6239,8566,10020,TENNESSEE,35712,20790,17.0,147.0,12,50.38306451611493
212,Maury,TN,94340,32801,36462,4467,13550,12107,12567,8771,4624,1344,94340,80956,12637,779,1133,0,1202,11452,12643,12815,TENNESSEE,52401,32866,20.0,208.0,12,57.159214518795984
213,Wilson,TN,140625,49636,53721,6547,16089,20408,19821,14078,6659,1761,140625,127354,11687,590,2888,0,2328,18224,18747,18291,TENNESSEE,78317,53418,31.0,255.0,12,72.6738766806603
214,Bastrop,TX,86976,29043,29491,4981,9319,10933,10828,8145,3567,596,86976,57516,8014,341,872,0,22213,11277,14188,13142,TEXAS,47519,27439,21.0,105.0,12,33.40979397713895
215,Bowie,TX,94324,34163,34203,5832,12958,13662,10545,8901,5001,1410,94324,65871,24892,1299,1541,0,2366,11441,12816,11758,TEXAS,51552,28633,32.0,142.0,12,63.46368715082568
216,Brazos,TX,226758,80404,80980,42569,36291,25275,20258,12805,6882,1309,226758,183615,26913,1497,16093,0,4143,26429,36026,18914,TEXAS,98406,64877,25.0,167.0,12,30.546917870858433
217,El Paso,TX,840758,255256,259213,69120,126431,104442,96283,58474,31910,12670,840758,676823,35015,12668,16191,1614,125104,121422,132335,87671,TEXAS,412874,205862,147.0,715.0,12,183.28981723237152
218,Harrison,TX,66726,22319,23910,4879,6809,8843,6981,6729,3004,1144,66726,53274,14131,591,0,0,0,8339,10884,9114,TEXAS,38854,22759,26.0,139.0,12,66.97071086630284
219,Hays,TX,222631,78919,82729,28690,32289,28938,25577,15966,6935,1943,222631,204093,10933,2418,5457,0,7239,27835,32081,22377,TEXAS,106742,80499,40.0,155.0,12,41.82046429708626
220,Nueces,TX,362265,123937,130216,23801,52441,47289,40723,31740,15110,5881,362265,331109,14677,2024,10287,679,8116,48768,52291,44221,TEXAS,173740,94838,84.0,378.0,12,131.58420628524624
221,Washington,UT,171700,59397,63341,10206,20512,20591,15568,20852,11918,4525,171700,160642,1666,2794,2724,1983,4840,23870,25193,18465,UTAH,80767,61468,6.0,54.0,12,2.8883083437538986
222,Calhoun,AL,114277,42180,46583,7451,16273,12608,13616,12240,6514,1761,114277,87105,25595,489,1594,0,2024,14300,13354,16160,ALABAMA,69851,37121,46.0,320.0,12,151.72867961802243
223,Etowah,AL,102501,37529,41821,7116,12260,12232,13422,11519,5919,2194,102501,82862,18369,755,944,0,1476,12842,11174,13823,ALABAMA,67705,34930,32.0,265.0,12,90.17945498853996
224,Lee,AL,163941,60796,63985,22390,21562,18918,19737,13335,4776,1776,163941,117409,39531,1147,7622,0,868,16703,27195,17549,ALABAMA,100963,49208,25.0,478.0,12,85.21933777719707
225,Lonoke,AR,73657,26044,27657,4066,9759,10245,10642,5831,2963,963,73657,66397,5772,0,1104,0,1203,8750,11676,8762,ARKANSAS,37644,20984,13.0,67.0,12,16.659228562316265
226,Alameda,CA,1666753,539268,569520,99631,278956,251407,222171,136742,66204,27564,1666753,731674,202280,25998,575221,27041,228934,187896,193001,203181,CALIFORNIA,881491,587501,816.0,4680.0,12,3119.2531744509797
227,Lake,CA,64382,22687,24624,3023,7514,7776,6857,9780,3915,1161,64382,49377,1789,4056,1184,0,9982,7781,6436,10139,CALIFORNIA,32653,21463,23.0,211.0,12,107.00885064156218
228,San Francisco,CA,883305,335784,323809,46479,207779,139659,115224,76622,38664,22842,883305,449105,57673,8756,339207,9027,82933,69308,64953,101775,CALIFORNIA,500051,370439,588.0,2489.0,12,2107.2711383438464
229,Sonoma,CA,499942,169794,186050,27975,62547,63735,63949,60222,25828,11980,499942,391092,13048,13672,30671,3961,75637,52167,58923,72616,CALIFORNIA,275290,213801,186.0,826.0,12,401.823240945897
230,Yolo,CA,220408,70585,75214,31778,28702,25985,23215,15764,7868,3545,220408,172252,9195,5043,40058,2918,8023,25464,35369,22718,CALIFORNIA,113642,75012,96.0,406.0,12,246.93968779146383
231,Arapahoe,CO,651215,221972,229206,39638,102156,93114,84990,53847,21450,9712,651215,496899,88646,10910,50756,3521,36915,85383,81281,79644,COLORADO,373596,277268,28.0,267.0,12,14.40786303921845
232,Denver,CO,716492,260422,262727,42638,167260,114707,82846,51845,22718,9433,716492,570665,76852,15005,36033,2330,48315,82577,71698,70770,COLORADO,420695,315617,30.0,400.0,12,20.537443991489784
233,Weld,CO,314305,108936,109723,19518,47414,42688,38072,24051,10092,4080,314305,293400,6217,5857,6682,1709,11349,45837,46333,36220,COLORADO,173087,128811,11.0,198.0,12,9.059952509431149
234,Sussex,DE,229286,84737,93760,11299,22212,22785,26156,39496,18896,5459,229286,192495,29868,2547,3766,633,4174,21506,23964,37513,DELAWARE,162304,93342,64.0,872.0,12,247.5709779179658
235,Citrus,FL,147929,60580,62525,5444,12180,11427,16150,29459,17563,6810,147929,139670,5359,1252,2948,0,1746,11681,12705,24510,FLORIDA,109388,71494,31.0,296.0,12,60.397118513908254
236,St. Johns,FL,254261,93981,100234,11102,21687,32431,36802,31588,15578,4574,254261,229774,15587,2825,10721,0,2287,26455,37833,36211,FLORIDA,187125,131696,38.0,348.0,12,50.88192384769267
237,Twin Falls,ID,86081,28431,29510,4644,12056,10717,9571,7295,4423,1207,86081,79752,0,1129,2345,0,3945,11457,14406,10305,IDAHO,38900,24888,21.0,223.0,12,86.67763496141731
238,Cook,IL,5180493,1686054,1872383,334239,846833,701865,648939,432528,225300,100113,5180493,3077682,1258171,41587,445378,6874,501045,618340,633078,639258,ILLINOIS,1587447,883457,988.0,7306.0,12,3273.9336557377774
239,Macon,IL,104712,38079,42712,5770,12651,12591,11664,11681,7045,2441,104712,85008,20336,844,1579,0,568,11975,14084,14810,ILLINOIS,75299,39665,37.0,287.0,12,101.5376034210147
240,Peoria,IL,180621,64428,70125,11909,24042,21819,21719,17450,8191,4560,180621,139044,36799,1297,8967,0,2208,23071,24072,23788,ILLINOIS,117552,88707,61.0,304.0,12,113.58105349121124
241,Kosciusko,IN,79344,28216,29648,5600,9541,9814,10184,7692,3828,1548,79344,75340,987,687,1292,0,1870,9489,11097,10551,INDIANA,47569,26588,38.0,311.0,12,178.87615884290634
242,Vanderburgh,IN,180974,65788,73244,11846,26048,21965,21266,17208,8411,4504,180974,157187,20966,668,3173,0,2728,21738,22730,25258,INDIANA,114657,59028,30.0,214.0,12,40.3150265574679
243,Vigo,IN,107386,41753,40816,12926,13881,12208,12130,9772,5257,2089,107386,95516,9061,1356,2604,0,2018,11155,14523,13445,INDIANA,63870,32230,22.0,128.0,12,31.74448097697953
244,Campbell,KY,93152,34951,37445,6921,13685,10938,11405,8677,4319,1829,93152,88625,3686,343,1212,0,0,11341,10907,13130,KENTUCKY,75153,34662,53.0,290.0,12,147.25160672226693
245,Calcasieu Parish,LA,203112,71651,78723,12631,29829,25171,23639,18380,8634,3451,203112,146697,53993,1879,3353,0,1536,29233,25760,26384,LOUISIANA,122921,61049,78.0,558.0,12,254.93837505387566
246,East Baton Rouge Parish,LA,440956,151629,174505,45503,64913,52692,47881,37907,18099,6571,440956,215998,210024,3420,17082,0,7845,57327,57550,52513,LOUISIANA,271751,153633,138.0,1414.0,12,516.9991646764679
247,St. Landry Parish,LA,82764,28099,31857,4870,10195,9469,9331,7810,3955,1402,82764,47423,35745,0,0,0,0,11720,13077,10935,LOUISIANA,58207,29811,56.0,418.0,12,289.54867971201236
248,Tangipahoa Parish,LA,133777,47576,52317,9972,18052,16487,16664,12006,5765,1316,133777,92004,41883,510,1266,0,762,17901,19234,16380,LOUISIANA,76942,38344,39.0,378.0,12,137.95118400871593
249,Carroll,MD,168429,63321,65672,10186,18890,18356,25813,15914,8225,3370,168429,157675,8314,844,4736,0,1434,17767,23772,26136,MARYLAND,120916,75733,33.0,586.0,12,115.14902907802812
250,Wicomico,MD,103195,34405,41137,10618,13058,10969,12043,9275,5220,1751,103195,70501,29426,894,3655,0,1523,12250,15111,12900,MARYLAND,61443,34112,31.0,401.0,12,145.66866852202114
251,Ingham,MI,292735,105059,113963,37289,41708,32877,31215,24438,9619,5759,292735,232438,43493,5054,24032,0,5780,32457,44422,32951,MICHIGAN,176814,120601,92.0,942.0,12,352.9023719840989
252,Shiawassee,MI,68192,26028,27427,3974,7760,7629,9678,7516,3662,1419,68192,66760,868,734,614,0,619,7928,8284,10342,MICHIGAN,46710,30210,26.0,286.0,12,114.62042389207566
253,Scott,MN,147381,50737,52107,7941,17773,21949,22029,9855,4438,1999,147381,127704,8456,2156,10570,0,1678,21593,22341,17463,MINNESOTA,87823,66700,43.0,469.0,12,165.33527663594214
254,Missoula,MT,118791,46369,48305,11310,19597,15362,13362,11313,5416,1528,118791,113099,1028,4402,3090,709,1159,11796,14591,14516,MONTANA,74794,61955,27.0,420.0,12,109.16383667137617
255,Yellowstone,MT,160137,59334,61850,9693,21688,19937,18952,15657,7564,3942,160137,149536,2395,10327,2071,0,1408,19901,21180,21623,MONTANA,83984,69680,16.0,138.0,12,18.929319870449262
256,Hunterdon,NJ,124714,47706,48900,7941,10894,13691,20290,14129,6229,2922,124714,115029,4671,837,6136,0,0,11930,15550,21138,NEW JERSEY,91145,64285,44.0,467.0,12,162.31894234459793
257,Lea,NM,69611,20203,20996,4763,9731,10461,5954,4770,2162,924,69611,64418,2881,884,765,0,1745,9898,13650,7298,NEW MEXICO,13985,13991,16.0,106.0,12,87.31641043969445
258,Jefferson,NY,111755,44161,38660,11377,18072,12942,12009,9065,4745,1648,111755,100037,9591,1775,2851,436,2793,16757,12781,12359,NEW YORK,56351,30673,43.0,239.0,12,131.30982591256034
259,Niagara,NY,210433,79879,85697,12336,25584,23381,28445,23034,10979,5800,210433,188785,19262,4269,3181,0,1685,21090,25899,33885,NEW YORK,131758,73673,79.0,710.0,12,306.5073847508078
260,Putnam,NY,98892,36881,37475,6135,11523,10716,15885,10434,5064,1596,98892,84719,3681,690,2631,0,8780,9743,12170,15626,NEW YORK,63507,39784,22.0,452.0,12,112.73843828237632
261,Rockland,NY,325695,102579,110312,21799,36801,36443,39698,27953,15280,7876,325695,241578,45384,1611,22163,552,25461,50661,49690,39494,NEW YORK,194263,104053,87.0,951.0,12,306.6494391623569
262,Sullivan,NY,75498,29141,27363,3693,8462,8507,11018,8370,4711,1117,75498,63005,8356,917,1622,0,3935,8409,10013,11198,NEW YORK,46700,25533,35.0,225.0,12,121.41327623123739
263,Chatham,NC,73139,26008,28593,3925,6599,7622,10501,10282,4754,2840,73139,59929,9800,0,1710,0,2824,7666,8331,10619,NORTH CAROLINA,48187,36182,19.0,105.0,12,29.80886961212987
264,Craven,NC,102912,39084,38951,9253,13584,10691,11932,11039,6919,1630,102912,74988,23908,503,3995,659,1597,14061,11002,12801,NORTH CAROLINA,57211,35926,23.0,170.0,12,49.20732027056874
265,Harnett,NC,134214,45765,47419,8640,20122,18632,16693,10179,5482,1380,134214,97438,31361,2531,2754,1818,5947,19865,18597,14624,NORTH CAROLINA,59999,35642,14.0,140.0,12,23.520392006529526
266,Randolph,NC,143351,49618,54336,8060,17266,17396,19837,14752,8003,2452,143351,124950,10084,2386,2709,0,7562,16542,18473,20570,NORTH CAROLINA,78657,47212,23.0,118.0,12,24.843052748004013
267,Wilson,NC,81455,27398,33148,3801,9536,9674,9937,8875,4428,1501,81455,42744,34729,932,809,0,5080,10386,11887,11430,NORTH CAROLINA,46760,28763,25.0,120.0,12,46.193327630443505
268,Ashtabula,OH,97493,37851,38011,5759,11139,10564,13418,10840,5448,2281,97493,93080,5348,792,0,0,0,11488,11712,14844,OHIO,62311,33164,49.0,412.0,12,233.27117202416375
269,Belmont,OH,67505,27817,26225,3340,8216,7821,8749,8320,3961,2069,67505,64667,3050,686,710,67,402,6757,7531,10741,OHIO,47702,25426,29.0,279.0,12,122.1231814179443
270,Hancock,OH,75930,28615,29884,4421,10396,9019,9796,7220,3632,1977,75930,71921,2441,872,1528,0,1570,9300,9628,10541,OHIO,51652,28763,25.0,312.0,12,108.72763881357766
271,Ross,OH,76931,31982,28525,4728,9469,9537,11490,7663,5001,692,76931,71552,5009,877,1411,0,292,8346,9301,10704,OHIO,45142,23835,37.0,258.0,12,152.2555491559629
272,Stark,OH,371574,137164,149912,22005,43718,43261,47272,40575,21692,9795,371574,334447,36255,3488,4811,0,4837,43401,45762,54093,OHIO,254569,142413,136.0,1088.0,12,418.49934595334
273,Tuscarawas,OH,92176,33944,36440,5460,10939,10742,11059,10052,5723,2252,92176,91421,2492,784,486,0,0,11919,11122,12908,OHIO,59228,33294,52.0,328.0,12,207.33977172955235
274,Comanche,OK,120422,47714,41472,11095,19343,14714,13931,8942,4408,1873,120422,89538,25253,12308,5257,1405,4775,15199,16991,13926,OKLAHOMA,45998,26670,38.0,121.0,12,71.97182486193488
275,Oklahoma,OK,792582,256871,281927,52443,123640,102291,89612,64312,30063,13902,792582,581091,138396,51583,36210,2248,38680,115065,107287,93967,OKLAHOMA,357332,234462,257.0,832.0,12,430.84101060077376
276,Pottawatomie,OK,72679,25991,29018,4930,9177,8940,9085,7143,2873,1805,72679,59495,3865,13396,755,209,565,8875,10431,9420,OKLAHOMA,33520,21097,26.0,91.0,12,50.82100238661969
277,York,SC,274118,95078,106959,15927,33711,37618,38994,24750,11720,2894,274118,207431,55291,3638,7815,0,5248,36598,37365,34541,SOUTH CAROLINA,193566,96235,90.0,678.0,12,226.97374538915784
278,Madison,TN,97605,33943,39759,7192,12724,10893,12231,9864,4487,2230,97605,56466,38110,394,1488,0,2660,11399,13344,13241,TENNESSEE,54779,33255,33.0,257.0,12,111.47191441973905
279,Bell,TX,355642,118191,122877,30215,58261,46164,39044,23177,12418,3064,355642,238543,102028,5145,14953,5972,9563,56480,52258,34561,TEXAS,158116,87155,46.0,347.0,12,72.68486427685542
280,Cameron,TX,423908,111299,121942,30836,51875,52463,47248,32361,17345,8300,423908,405067,3268,1264,3950,286,12430,69525,72843,41112,TEXAS,190161,79358,76.0,409.0,12,117.69227128590417
281,Ellis,TX,179436,60763,64172,11815,22480,24181,23735,13642,6971,2147,179436,152470,21158,5650,1967,116,5000,25899,26551,22015,TEXAS,97779,60850,36.0,168.0,12,44.53471604331763
282,Harris,TX,4698619,1328657,1417201,313976,755930,671372,585649,309174,135707,49533,4698619,2958387,945070,46539,373105,10863,486091,688930,684047,504301,TEXAS,2002778,1219871,730.0,4943.0,12,1297.2185634154096
283,Jefferson,TX,255001,88709,87080,17403,37128,33631,30084,20168,11284,5126,255001,153167,86886,2642,10983,0,6785,33065,34963,32149,TEXAS,135110,75002,39.0,226.0,12,46.969728369473245
284,Lubbock,TX,307412,107615,115143,37452,43817,37250,30614,21476,11725,4398,307412,259125,26080,4732,9885,1024,17410,42085,45939,32656,TEXAS,149493,92033,37.0,225.0,12,40.09552286728876
285,Taylor,TX,137640,47847,50988,14707,17863,16741,13043,9952,6828,2620,137640,106640,12468,1813,4754,0,16022,18514,21888,15484,TEXAS,67866,41119,20.0,117.0,12,24.825391212090764
286,Walker,TX,72480,32685,24769,11280,7826,11170,9638,5886,2327,1013,72480,53856,16482,462,1965,0,239,6017,8911,8412,TEXAS,29692,17935,16.0,69.0,12,26.770847366284936
287,Weber,UT,256359,86801,87691,17847,38470,35776,27627,18226,8070,3266,256359,238924,5799,3601,6270,2512,10491,40197,39085,27795,UTAH,105956,81826,6.0,49.0,12,1.9978104118688893
288,Berkeley,WV,117123,43912,43922,6923,15748,15146,16890,11700,4428,1433,117123,105931,12580,0,934,0,1664,13746,15510,15599,WEST VIRGINIA,61046,34450,48.0,330.0,12,186.82305146935315
289,Wood,WV,84203,31443,34654,4621,9764,9985,10998,9881,5712,1597,84203,82108,2358,568,719,0,0,9110,10349,12186,WEST VIRGINIA,45324,29456,47.0,345.0,12,257.5853852263133
290,Natrona,WY,79115,29497,30123,4211,11593,10426,9214,7181,3032,1687,79115,76425,971,1442,947,0,512,9976,10891,10904,WYOMING,35140,24662,26.0,173.0,12,92.16163915762887
291,Houston,AL,104722,37139,42202,6223,13763,12633,13289,11027,5909,1854,104722,74364,30168,701,1406,0,264,12702,13608,13714,ALABAMA,66714,32469,27.0,239.0,12,69.64295350300243
292,Marshall,AL,96109,32924,35308,5520,10753,12141,12608,9344,5387,1756,96109,89353,3952,1158,768,0,2626,12745,13533,12322,ALABAMA,55326,27430,29.0,231.0,12,87.17926472181486
293,Montgomery,AL,225763,77071,90223,15521,32789,28254,27604,20454,9947,3875,225763,81036,134342,1044,8041,0,4680,29472,29434,28413,ALABAMA,144317,77613,50.0,1399.0,12,348.98175544112274
294,Navajo,AZ,110445,39598,40253,5837,13390,11646,12240,12126,5852,2184,110445,55963,1189,51524,1170,537,2936,15310,17227,14633,ARIZONA,62671,37172,39.0,280.0,12,125.45515469672966
295,Craighead,AR,108558,37691,40730,7446,17435,12761,12697,8860,5205,1102,108558,86924,18067,788,685,0,3197,15812,15592,11648,ARKANSAS,45976,26189,20.0,124.0,12,38.83765442838898
296,San Bernardino,CA,2171603,677120,699433,164029,331736,281377,264742,153354,72061,25753,2171603,1410943,217900,43999,187242,13007,414805,311654,321368,245529,CALIFORNIA,937316,546041,402.0,3127.0,12,965.6069884649257
297,San Diego,CA,3343364,1156948,1136957,252462,551187,447365,413803,272301,138440,59080,3343364,2525178,216367,45359,493938,32624,221864,399953,413170,395603,CALIFORNIA,1767300,1173924,1333.0,6374.0,12,3461.5007299269873
298,San Joaquin,CA,752660,226627,234370,51560,105657,97658,92256,56724,28189,10931,752660,511462,69851,58504,143682,10942,54812,110354,115122,84209,CALIFORNIA,344891,196698,233.0,1561.0,12,759.2931099970494
299,Santa Barbara,CA,446527,140005,142440,47576,59576,50626,48111,37583,21181,9638,446527,367122,12753,11881,34484,2376,40245,54042,67742,50452,CALIFORNIA,217417,157697,87.0,958.0,12,276.00932769745344
300,Tulare,CA,465861,124745,133513,32982,65271,59236,51088,31035,15293,6294,465861,345894,10971,12319,22126,1195,92355,76490,81169,47003,CALIFORNIA,169367,101066,50.0,498.0,12,105.85297017718293
301,Mesa,CO,153207,56567,59876,9896,18758,18334,17734,16525,8326,3950,153207,146202,2219,3489,2562,0,1758,19498,19141,21045,COLORADO,94625,69282,6.0,36.0,12,1.6435402906206982
302,Bay,FL,185287,69772,70778,11737,24177,23064,23291,18171,9463,3293,185287,154396,23991,4114,6052,0,5885,23210,21265,27616,FLORIDA,120851,63888,6.0,171.0,12,6.112651115836352
303,Broward,FL,1951260,633729,673756,113746,262268,260683,274458,181134,102847,40544,1951260,1217972,603161,18577,90871,3456,93754,216242,237909,261429,FLORIDA,1175328,720585,410.0,4730.0,12,1188.0053908355694
304,Collier,FL,378488,127728,139605,16835,35786,36459,43094,60211,43984,18268,378488,338047,27914,1732,7002,0,7773,31852,41101,50898,FLORIDA,213664,157097,57.0,568.0,12,109.09989516249301
