County,CensusTract,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Voters,Workers,Locations,Hours,eff_score
gonzales,48177000350.0,49.20000000000001,42.95,6.383333333333334,0.08333333333333333,0.1,0.0,2094.6666666666665,43141.833333333336,7179.666666666668,21152.5,3380.166666666666,20.933333333333334,28.816666666666666,21.91666666666667,17.933333333333334,23.016666666666666,18.65,18.516666666666666,72.8,17.2,2.1333333333333333,2.6,1.0333333333333332,4.166666666666667,21.05,1403.666666666667,77.88333333333334,13.299999999999995,8.4,0.45,6.366666666666667,12210,40,14,12,0.5503685503685504
gray,48179950485.71429,30.985714285714288,61.542857142857144,4.085714285714286,0.7428571428571429,0.4,0.08571428571428573,2259.142857142857,45925.714285714275,8350.0,20067.571428571428,2650.5714285714284,15.114285714285714,18.37142857142857,21.428571428571427,16.614285714285714,23.17142857142857,20.842857142857138,17.885714285714286,81.97142857142858,14.728571428571426,0.0,1.1999999999999995,1.3714285714285714,0.7000000000000001,20.4,1349.142857142857,81.74285714285716,11.285714285714285,6.957142857142857,0.028571428571428574,6.142857142857142,12493,19,7,12,0.1277515408628832
grayson,48181000970.26923,12.165384615384614,76.77692307692307,6.1692307692307695,1.311538461538461,1.0692307692307694,0.07692307692307694,3420.5384615384614,46366.26923076923,7723.26923076923,24520.615384615387,3187.0769230769233,16.876923076923074,22.157692307692308,29.753846153846172,19.380769230769232,24.003846153846155,11.746153846153849,15.119230769230766,77.08461538461539,13.865384615384615,0.3961538461538461,2.1499999999999995,1.4076923076923076,5.107692307692308,24.838461538461537,2109.0384615384614,78.28076923076924,13.711538461538465,7.700000000000002,0.3038461538461539,8.338461538461537,80942,141,23,12,0.4807887129055373
gregg,48183043036.36,19.09583333333333,56.18333333333334,21.5625,0.3916666666666668,1.3375,0.225,3373.68,45976.375,7611.25,23491.58333333333,3211.958333333333,19.33333333333333,26.91666666666667,25.79583333333333,18.470833333333328,25.35416666666667,12.304166666666665,18.083333333333336,83.8291666666667,10.104166666666666,0.5916666666666667,1.8791666666666664,1.5166666666666668,2.0791666666666666,19.695833333333336,2216.08,85.60416666666664,9.275,5.045833333333333,0.1,6.5166666666666675,66187,84,18,12,0.2741323824920301
grimes,48185180234.333336,21.283333333333328,60.46666666666667,15.966666666666667,0.3333333333333333,0.13333333333333333,0.0,3219.833333333333,45859.83333333334,12540.0,18889.666666666668,3071.0,22.566666666666666,27.816666666666666,21.88333333333333,19.55,27.383333333333336,14.633333333333333,16.51666666666667,79.8,12.816666666666668,0.0,3.8666666666666667,1.0833333333333333,2.433333333333333,29.6,1658.5,73.51666666666667,18.633333333333333,7.783333333333334,0.06666666666666668,5.7333333333333325,16000,42,2253,12,70.9695
guadalupe,48187210616.0,36.39999999999999,52.89310344827586,6.389655172413794,0.2344827586206897,1.7379310344827583,0.006896551724137932,3460.2758620689656,64531.03448275862,10199.58620689655,27105.413793103453,3138.310344827586,9.903448275862068,13.348275862068968,33.68275862068965,16.52068965517241,24.74827586206896,10.427586206896553,14.606896551724136,83.97241379310344,10.227586206896554,0.2448275862068965,0.7793103448275861,1.0310344827586206,3.7413793103448274,25.013793103448283,2304.2068965517237,76.9655172413793,17.713793103448282,5.027586206896551,0.2793103448275862,5.56896551724138,99012,143,34,12,0.5892619076475579
hale,48189950500.0,57.711111111111094,36.00000000000001,4.355555555555555,0.06666666666666668,0.4111111111111112,0.0,2583.1111111111113,42609.55555555556,7762.777777777777,17777.88888888889,2587.333333333333,22.777777777777782,33.73333333333333,23.511111111111113,21.33333333333333,20.366666666666667,17.4,17.388888888888893,82.72222222222223,10.477777777777778,0.4111111111111112,1.2333333333333334,1.3333333333333333,3.8222222222222215,16.466666666666665,1585.0,76.28888888888888,16.133333333333336,7.4222222222222225,0.17777777777777778,7.900000000000001,19347,47,15,12,0.4372770972243759
hall,48191950500.0,34.1,57.7,7.1,0.0,0.3,0.0,2212.0,30950.0,4283.0,17378.0,2513.0,26.9,39.9,20.6,23.9,21.9,25.9,7.7,84.2,8.3,0.2,3.3,2.5,1.4,16.0,1214.0,70.9,15.0,10.1,4.0,11.5,1989,8,4,12,0.19306184012066369
hamilton,48193950200.0,11.2,86.5,0.9666666666666668,0.43333333333333335,0.2,0.03333333333333333,2126.0,43633.66666666666,8554.333333333334,24723.33333333333,4486.666666666667,14.2,16.833333333333332,29.1,20.8,21.53333333333333,18.433333333333334,10.133333333333333,76.93333333333334,13.366666666666665,0.0,5.5,0.4666666666666667,3.766666666666667,21.8,1093.0,72.13333333333334,18.33333333333333,7.833333333333332,1.6666666666666667,5.3,5606,34,9,12,0.655012486621477
hansford,48195950200.0,45.35,53.5,0.1,0.2,0.45,0.0,1570.5,44277.0,8637.5,23854.0,3558.0,16.25,24.3,29.700000000000006,13.05,16.6,23.25,17.4,82.4,10.35,0.0,1.55,3.05,2.6,14.7,1314.5,71.19999999999997,18.200000000000006,10.45,0.15,2.1,3034,48,7,12,1.3289386947923534
harris,48201396160.49236,41.43727735368954,31.896437659033055,18.843256997455466,0.1834605597964376,6.1562340966921125,0.05547073791348599,3173.960559796438,59716.10243277848,10489.312419974392,30123.901910828023,4514.247133757962,19.01441326530612,26.681609195402288,32.91984732824431,18.160305343511453,23.11399491094146,12.318956743002554,13.487786259542002,78.18778625954194,11.32086513994909,3.3055979643765907,1.7300254452926225,2.108778625954195,3.34732824427481,27.4816560509554,2648.7137404580153,83.47124681933839,9.802544529262093,6.582824427480911,0.14249363867684475,7.990330788804068,2258976,4943,730,12,19.168278016233906
harrison,48203020381.14286,13.564285714285711,61.90714285714285,22.57857142857143,0.24285714285714285,0.4999999999999999,0.0,3344.0714285714284,45586.857142857145,9032.92857142857,23639.857142857138,4382.714285714285,18.092857142857145,26.014285714285727,31.000000000000004,15.95,22.050000000000004,14.192857142857143,16.77857142857143,86.65,7.35,0.1,0.8142857142857144,1.6285714285714286,3.414285714285714,21.042857142857144,2046.4285714285716,80.92857142857143,13.485714285714286,5.471428571428571,0.10714285714285714,7.678571428571429,42585,139,26,12,1.0183867558999649
