,Unnamed: 0,County,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Voters,Workers,Locations,Hours,eff_score,timeToVote,differenceFromNorm,white_professional_corr,Black_Service_corr,White_Carpool_corr,Professional_Hispanic_corr,Professional_Black_corr,Hispanic_Construction_corr,Black_Construction_corr,Professional_Construction_corr,Service_Construction_corr,White_Professional_corr,Service_Carpool_corr,Black_Hispanic_corr,Black_Carpool_corr,Professional_Service_corr,Service_Hispanic_corr,White_Black_corr,Professional_Carpool_corr,White_Construction_corr,White_Hispanic_corr,Hispanic_Carpool_corr,White_Service_corr,Construction_Carpool_corr,White_Poverty_corr,Construction_Poverty_corr,Carpool_Poverty_corr,Black_Poverty_corr,Service_Poverty_corr,Professional_Poverty_corr,Hispanic_Poverty_corr,sumPerpetuation,affected
14,14,bexar,57.65000000000001,25.85,4.5,0.0,1.25,0.0,3222.5,46943.0,7390.5,21910.0,2720.0,16.5,23.7,30.5,20.2,25.95,8.6,9.8,80.2,10.75,2.05,0.8,0.8500000000000001,2.6,24.3,2089.5,79.9,14.05,5.3,0.0,6.9,1108798.0,1260.0,302.0,12.0,4.118189246373101,247.09135478238602,3.2958104547595672,0.6710144600770728,0.2508024110044693,-0.16964444712508153,0.3231612363794568,-0.7240533013554576,0.4280704748321256,-0.5578306082148295,0.015137420858692309,-0.4004808688809997,0.6710144600770728,-0.5526413295974801,-0.4858564406660114,0.053335137533577236,-0.3534625633727169,0.019698065939777274,-0.9034332412067124,-0.3249218154265113,0.4396805669308418,0.06609346757680927,0.2773864522197325,-0.3346859521698234,0.7353928939285793,0.14100650185662555,0.8932536330293919,0.9052070362757982,-0.3330394129634464,-0.540768319078636,-0.07871936415123595,0.5392377927509946,0.9680989782365824,True
15,15,blanco,18.7,78.30000000000003,0.05,0.7,0.45,0.0,4056.0,53787.0,9276.0,29405.0,3543.5,8.95,14.05,37.05,20.45,19.05,15.6,7.85,76.35,14.0,0.0,3.05,0.95,5.6,25.9,2335.0,69.75,17.75,12.25,0.25,6.0500000000000025,8177.0,29.0,6.0,12.0,0.2553503729974318,15.321022379845907,0.4219421120914663,0.6342306869086515,0.5989581971800536,-0.30169931523583826,-0.6129913342987169,-0.4804421565704697,0.3625363300407478,-0.009553105591213723,-0.5429511843358055,0.1652662158835923,0.6342306869086515,0.4385075248912191,0.16615128297777093,0.11971950451554687,-0.7306752063012899,0.5793401842830384,-0.8495437087530697,-0.5198962581105636,-0.14232967997675827,-0.6292055343512215,0.4287839699594913,-0.7398684877028088,0.4801104671269164,-0.7697093648465965,0.17773820230414658,0.3203691988939668,0.6897358253255025,0.6631283752999741,-0.5784896028533534,0.4033155463201008,1.6423548411511808,True
16,16,borden,8.8,87.9,0.0,3.0,0.0,0.0,490.0,73750.0,8208.0,44591.0,15266.0,1.4,0.0,52.8,11.7,14.2,14.2,7.1,78.6,10.4,0.0,0.7,0.7,9.6,24.9,282.0,45.7,36.2,17.0,1.1,0.7,488.0,21.0,7.0,12.0,3.6147540983606565,216.88524590163934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
17,17,bosque,15.7,78.7,0.0,0.0,0.0,0.0,1862.0,45563.0,5937.0,23301.0,3032.0,15.4,29.9,26.0,15.3,19.9,17.0,16.9,82.3,13.5,0.0,2.4,0.6,4.6,27.7,1122.0,74.9,13.0,11.1,0.0,7.6,12209.0,34.0,3114.0,12.0,104.06355966909656,6243.813580145794,-0.5577009899614751,0.8715327442751851,-0.09877153771435172,-0.9872181021548988,-0.9027832303178486,-0.08968209279709755,0.9814252695706088,-0.06234762569394104,-0.9188625165445484,0.7525602250727687,0.8715327442751851,0.88878284789314,-0.23787916597670644,-0.3115068580468425,-0.9241630322600756,0.7963018023656507,0.3504328955903735,-0.9146690768522876,-0.949586905175456,-0.9920791798739852,0.9767043351837305,-0.8050312354139147,0.9291260711192372,-0.9642170301310746,0.9142907647784392,0.9103470673631052,-0.43825210957613664,0.6194510812649902,-0.7345320917198694,0.9549742562622352,2.6445388818245656,True
18,18,bowie,5.199999999999998,66.4,21.15,0.5,0.45,0.0,3984.0,40846.0,5363.5,20276.0,2837.0,19.7,32.05,24.8,21.15,23.9,9.8,13.0,85.85,8.95,0.05,0.45,1.05,1.8,18.15,2018.0,76.5,18.65,4.4,0.0,8.600000000000001,59606.0,142.0,32.0,12.0,0.9148072341710566,54.88843405026339,2.9633310513623443,0.8954235264458229,0.9787274270354116,-0.9910792816664472,-0.28390876181011226,-0.9650792879169428,-0.09387663325574017,-0.9974665394669664,0.98126925538815,-0.9908427161098646,0.8954235264458229,0.7939581165370848,0.022815744000607947,0.6523339948121837,-0.9982941370875076,0.2274418565815004,-0.747526998375165,-0.8281002445033404,0.7928847386229765,-0.6811139021333212,0.7726178182765117,-0.8679021293265244,-0.7045984740583392,-0.9855690808081004,-0.6782920888635146,0.9993368157643296,0.6243025827752635,0.7712932905276194,-0.8071384903254342,0.795223195524828,1.895483201303835,True
19,19,brazoria,27.7,55.75,7.6999999999999975,0.1,0.8,0.0,3862.0,59443.5,9365.0,26713.5,3055.0,13.1,17.950000000000006,30.15,14.95,22.1,13.55,15.45,85.9,8.2,0.0,0.95,1.0,2.55,27.95,2510.0,80.30000000000003,13.6,5.05,0.0,5.9,205435.0,124.0,26.0,12.0,0.1883223403996398,11.299340423978386,-0.3827636317029488,0.9886540462187432,0.4760406522110114,0.7937463852369,-0.981980506061966,0.8834925963189081,0.8712892542803551,-0.9768549125798636,-0.7628422809644049,-0.6531338985533721,0.9886540462187432,0.7265246494783261,-0.956100313655164,0.9501425320705178,0.008616848278232106,-0.197436797434746,0.943833878985952,0.6933752452815366,-0.8513108673726894,-0.9992261059075564,-0.8170571691028833,0.15872394727569816,-0.9948497511671098,0.5158090708543557,0.01036560716839119,-0.11166738293946668,0.2037657820333673,-0.7639718854943207,0.638642546528126,-0.4817120310828518,-0.02583992031888593,False
20,20,brazos,17.4,62.3,7.0,0.0,4.4,0.0,3512.0,41798.5,7732.0,19989.0,3134.0,27.65,25.1,40.1,17.0,24.5,6.6,7.6,78.7,10.6,1.1,1.5,2.2,2.7,16.5,2358.5,67.7,24.8,5.1,0.0,5.7,114391.0,167.0,25.0,12.0,0.4379715187383623,26.27829112430173,-0.3294084381907901,0.9098654083116758,0.38340011081516456,-0.9123312611222728,-0.7758245108644187,-0.010817590374533588,0.7568345684367671,0.07794249152965421,-0.7401687516390528,0.5721304358164521,0.9098654083116758,0.8542461310074799,-0.5297680247339629,-0.13242385003905166,-0.9081898183349524,0.44138036910782097,0.21438812108377572,-0.9882212000062794,-0.8912287105341576,-0.9415392700061728,0.8258734300336563,-0.6766736082431379,0.6852102402083599,0.4040088183540351,-0.2296677007052859,-0.1918274635678798,0.9310557945657278,0.3436442840705205,0.0785432808547014,-0.6790692832839837,2.177119207453153,True
21,21,briscoe,32.6,60.4,3.8,0.1,0.0,0.3,1111.0,38603.0,7119.0,22323.0,2637.0,18.6,27.4,33.7,16.6,16.6,20.6,12.4,79.4,5.8,0.0,6.2,1.1,7.5,20.6,757.0,62.9,23.6,12.4,1.1,4.7,1013.0,20.0,5.0,12.0,1.1846001974333662,71.07601184600199,-0.5298782401368101,0.9540665930185784,0.7596847000499741,-0.6680951732679871,-0.9836184236332024,-0.022745515351925073,0.4503607865440082,0.8105674873765076,-0.6039305024533134,0.996615895540124,0.9540665930185784,0.954344851187878,-0.157843587491488,0.9192478691205608,-0.6674027747620404,0.5222282621281494,-0.3212178469929303,-0.4144861708072592,-0.8149779078512163,-0.8844316138662339,0.2436467594780656,-0.8598538886991035,0.9756688172340812,0.005513493119519329,-0.5839765944543338,-0.747748057724397,-0.9487619683134512,-0.5152732329761811,-0.2943298263275044,0.4617864187313609,1.7199416146247934,True
22,22,brooks,93.1,5.5500000000000025,0.05,0.0,1.25,0.0,2612.0,24105.0,8137.0,14168.5,3141.5,36.45,56.15,22.35,27.65,25.85,11.65,12.55,81.8,12.25,0.05,3.0,0.05,2.85,23.2,1208.0,73.4,20.65,5.95,0.0,13.9,5524.0,21.0,914.0,12.0,41.69587255611876,2501.7523533671256,0.16094108069614946,0.8925456356862419,0.2453917257882827,-0.5618682859589993,-0.7987147248943008,-0.3609585109086701,0.7010219597714981,0.02486378528373457,-0.6509896065343647,0.547547756296577,0.8925456356862419,0.528447894288439,0.03930407921904328,0.0992063215013305,-0.8307092063849157,0.7113290829728873,-0.5164692940282641,-0.6085908583461229,-0.5285309368851855,-0.8070440745523086,0.4247522217159141,-0.7423498345352375,0.3761624568157344,-0.7696967107897124,0.618025304544334,0.5969400832602672,0.33322047900872925,0.8190889063869056,-0.8452725606330977,0.6887597493226234,2.028626940375043,True
23,23,brown,17.1,78.2,3.4,0.0,0.2,0.0,2321.5,44289.5,5986.5,22039.0,3568.5,20.05,33.0,29.25,20.25,22.9,11.25,16.450000000000006,88.9,7.65,0.0,0.35,0.45,1.6,14.4,1304.0,75.15,17.200000000000006,8.25,0.0,4.25,23357.0,56.0,15.0,12.0,0.4315622725521257,25.89373635312755,-0.15498921212525496,-0.6371107716737557,0.8694770969300234,-0.6757273695733228,0.6621438121469536,0.3483204852664954,-0.9620213642661568,-0.492474412033937,-0.6340872286799449,-0.2812165789579832,-0.6371107716737557,0.4598371017325241,0.5559627581035578,0.5190551469804756,0.07357957429502572,0.4616086122229787,-0.9021726382229024,-0.03438204640559192,0.9205254418505856,-0.8570919296075059,0.6761513502519724,-0.5941405707009463,-0.7318885461837695,-0.7287763547665137,-0.6184466751769319,0.16577476326147156,0.7585311670199606,0.4856165757458529,0.8660723789704595,0.6817586148568638,0.5006491908011954,True
24,24,burleson,20.6,67.2,11.7,0.1,0.0,0.0,2956.0,53389.0,9415.0,24384.0,3675.0,14.1,25.0,27.7,14.4,22.0,17.0,16.0,83.2,13.7,0.0,0.9,0.6,2.1,27.4,1741.0,67.1,22.2,8.7,0.0,7.2,11427.0,42.0,13.0,12.0,0.5733788395904437,34.40273037542662,1.8815164939052489,0.36650802119540704,0.4959086046414805,0.21287156499909046,-0.0850334686507663,-0.3608347446549167,0.3493163719551794,-0.3655549904355767,-0.2589656277736119,-0.4002198052775916,0.36650802119540704,0.2533522968303765,-0.0742988934739933,-0.1689450468692697,-0.04498033444793585,-0.024245846930584004,-0.9690449960613008,0.07589170552020512,0.2958218754095823,-0.13878350633511066,-0.21531694802944776,-0.5053861558433339,0.15923812786913466,-0.4813482321508297,-0.032426288499529665,-0.2690448915698709,0.4395826386327352,0.422186764408691,-0.3462808447899252,0.2029517122466196,0.12694522623537524,True
