,County,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Voters,Workers,Locations,Hours,eff_score,timeToVote,differenceFromNorm,white_professional_corr,Black_Service_corr,White_Carpool_corr,Professional_Hispanic_corr,Professional_Black_corr,Hispanic_Construction_corr,Black_Construction_corr,Professional_Construction_corr,Service_Construction_corr,White_Professional_corr,Service_Carpool_corr,Black_Hispanic_corr,Black_Carpool_corr,Professional_Service_corr,Service_Hispanic_corr,White_Black_corr,Professional_Carpool_corr,White_Construction_corr,White_Hispanic_corr,Hispanic_Carpool_corr,White_Service_corr,Construction_Carpool_corr
11,baylor,8.9,86.4,1.9,0.0,0.0,0.0,2836.0,36373.0,7151.0,32907.0,9699.0,11.9,2.2,37.6,12.0,21.9,21.7,6.8,91.3,5.6,0.0,0.5,1.2,1.4,13.0,1486.0,62.0,16.6,21.5,0.0,1.4,2330.0,8.0,4.0,12.0,0.1648068669527897,9.888412017167383,0.7711573733959256,0.8344941558954377,0.7606112472339059,-0.5942269837574948,-0.7432105092861323,-0.7635698662384355,0.1515810137969951,-0.26811956809461424,-0.12356103687106289,0.029505332537496782,0.8344941558954377,0.24347799729122116,0.6596631490779801,0.5767851552471013,-0.9080029966320913,0.7973295702244044,-0.9548670266665922,-0.42027517628897376,0.1472640503695065,-0.8480631286133876,0.4733645334622363,-0.845199263035891,0.03465621156604525
12,bee,56.9,39.6,2.0,0.0,0.0,0.0,3778.0,42390.0,9340.0,20089.0,3332.0,18.6,32.2,18.4,24.9,20.8,16.5,16.8,79.4,13.4,0.0,2.0,1.3,2.0,26.7,984.0,69.6,22.0,8.2,0.0,7.3,15883.0,39.0,10.0,12.0,0.2946546622174652,17.679279733047913,1.0636587382796128,0.7719624356645817,-0.3045743137297777,0.8364244678255891,-0.4742937927935753,-0.9531142135785579,-0.9987184471507257,-0.5050314375970831,0.43042748978600875,-0.6506512221169306,0.7719624356645817,-0.5441337101387852,0.5411388561448763,-0.4765761877634167,0.28706734239568965,0.6239423662639023,-0.8400328733517706,0.30563610410147873,0.8924064181963993,-0.9107781935276447,-0.9302124119348547,-0.25191518358955156,0.9406260992139728
13,bell,20.6,45.2,18.8,0.1,2.0,0.0,3109.0,45863.0,7063.0,21428.0,2707.0,15.55,20.9,29.7,19.6,25.5,9.7,11.3,82.7,10.1,0.0,1.4,1.1,3.0,19.7,1653.0,71.6,21.3,4.7,0.0,9.6,195604.0,347.0,46.0,12.0,0.9792437782458436,58.75462669475062,-0.08577683952890858,0.8871548557755464,0.6325776109475909,-0.6782672383168484,-0.8925274848084506,-0.4467077469862832,0.5249245926380581,-0.012844234993658972,-0.5473091039683154,0.29763000830593384,0.8871548557755464,0.4969725362420727,0.4161904592933173,0.3428397748656853,-0.8187198792108811,0.8042153497995652,-0.6297165234216199,-0.6468629589408544,-0.44746183820381646,-0.9632106890664999,0.6492362543077465,-0.8485269839297076,0.35466817051793886
14,bexar,57.650000000000006,25.85,4.5,0.0,1.25,0.0,3222.5,46943.0,7390.5,21910.0,2720.0,16.5,23.7,30.5,20.2,25.95,8.6,9.8,80.2,10.75,2.05,0.8,0.8500000000000001,2.6,24.3,2089.5,79.9,14.05,5.3,0.0,6.9,1108798.0,1260.0,302.0,12.0,4.1181892463731,247.091354782386,3.2958104547595672,0.6710144600770728,0.2508024110044693,-0.16964444712508153,0.32316123637945676,-0.7240533013554576,0.4280704748321256,-0.5578306082148295,0.01513742085869231,-0.4004808688809997,0.6710144600770728,-0.5526413295974801,-0.48585644066601136,0.05333513753357724,-0.35346256337271686,0.019698065939777274,-0.9034332412067123,-0.3249218154265113,0.4396805669308418,0.06609346757680928,0.27738645221973246,-0.3346859521698234,0.7353928939285793
15,blanco,18.7,78.30000000000001,0.05,0.7,0.45,0.0,4056.0,53787.0,9276.0,29405.0,3543.5,8.95,14.05,37.05,20.45,19.049999999999997,15.6,7.85,76.35,14.0,0.0,3.05,0.95,5.6,25.9,2335.0,69.75,17.75,12.25,0.25,6.050000000000001,8177.0,29.0,6.0,12.0,0.2553503729974318,15.321022379845907,0.4219421120914663,0.6342306869086515,0.5989581971800536,-0.30169931523583826,-0.6129913342987169,-0.4804421565704697,0.3625363300407478,-0.009553105591213723,-0.5429511843358055,0.1652662158835923,0.6342306869086515,0.4385075248912191,0.16615128297777093,0.11971950451554689,-0.7306752063012899,0.5793401842830384,-0.8495437087530697,-0.5198962581105636,-0.14232967997675827,-0.6292055343512215,0.42878396995949125,-0.7398684877028088,0.48011046712691635
16,borden,8.8,87.9,0.0,3.0,0.0,0.0,490.0,73750.0,8208.0,44591.0,15266.0,1.4,0.0,52.8,11.7,14.2,14.2,7.1,78.6,10.4,0.0,0.7,0.7,9.6,24.9,282.0,45.7,36.2,17.0,1.1,0.7,488.0,21.0,7.0,12.0,3.6147540983606556,216.88524590163934,,,,,,,,,,,,,,,,,,,,,,,
17,bosque,15.7,78.7,0.0,0.0,0.0,0.0,1862.0,45563.0,5937.0,23301.0,3032.0,15.4,29.9,26.0,15.3,19.9,17.0,16.9,82.3,13.5,0.0,2.4,0.6,4.6,27.7,1122.0,74.9,13.0,11.1,0.0,7.6,12209.0,34.0,3114.0,12.0,104.06355966909656,6243.813580145794,-0.5577009899614751,0.8715327442751851,-0.09877153771435171,-0.9872181021548989,-0.9027832303178486,-0.08968209279709755,0.9814252695706088,-0.062347625693941026,-0.9188625165445485,0.7525602250727687,0.8715327442751851,0.88878284789314,-0.23787916597670644,-0.31150685804684247,-0.9241630322600756,0.7963018023656507,0.3504328955903735,-0.9146690768522876,-0.9495869051754559,-0.9920791798739853,0.9767043351837303,-0.8050312354139147,0.9291260711192373
18,bowie,5.199999999999999,66.4,21.15,0.5,0.45,0.0,3984.0,40846.0,5363.5,20276.0,2837.0,19.7,32.05,24.799999999999997,21.15,23.9,9.8,13.0,85.85,8.95,0.05,0.45,1.05,1.8,18.15,2018.0,76.5,18.65,4.4,0.0,8.600000000000001,59606.0,142.0,32.0,12.0,0.9148072341710566,54.88843405026339,2.9633310513623443,0.8954235264458229,0.9787274270354115,-0.991079281666447,-0.28390876181011226,-0.9650792879169429,-0.09387663325574017,-0.9974665394669664,0.9812692553881499,-0.9908427161098646,0.8954235264458229,0.7939581165370848,0.022815744000607947,0.6523339948121837,-0.9982941370875076,0.2274418565815004,-0.747526998375165,-0.8281002445033404,0.7928847386229765,-0.6811139021333212,0.7726178182765117,-0.8679021293265244,-0.7045984740583392
19,brazoria,27.7,55.75,7.699999999999999,0.1,0.8,0.0,3862.0,59443.5,9365.0,26713.5,3055.0,13.100000000000001,17.950000000000003,30.15,14.95,22.1,13.55,15.45,85.9,8.2,0.0,0.95,1.0,2.55,27.95,2510.0,80.30000000000001,13.6,5.05,0.0,5.9,205435.0,124.0,26.0,12.0,0.1883223403996398,11.299340423978387,-0.38276363170294875,0.9886540462187433,0.47604065221101144,0.7937463852369,-0.9819805060619659,0.8834925963189081,0.8712892542803551,-0.9768549125798635,-0.7628422809644049,-0.653133898553372,0.9886540462187433,0.7265246494783261,-0.956100313655164,0.9501425320705178,0.008616848278232107,-0.197436797434746,0.943833878985952,0.6933752452815366,-0.8513108673726894,-0.9992261059075563,-0.8170571691028833,0.15872394727569814,-0.9948497511671098
20,brazos,17.4,62.3,7.0,0.0,4.4,0.0,3512.0,41798.5,7732.0,19989.0,3134.0,27.65,25.1,40.1,17.0,24.5,6.6,7.6,78.7,10.6,1.1,1.5,2.2,2.7,16.5,2358.5,67.7,24.8,5.1,0.0,5.7,114391.0,167.0,25.0,12.0,0.43797151873836226,26.278291124301735,-0.3294084381907901,0.9098654083116758,0.38340011081516456,-0.9123312611222728,-0.7758245108644187,-0.010817590374533587,0.756834568436767,0.07794249152965421,-0.7401687516390528,0.5721304358164521,0.9098654083116758,0.8542461310074799,-0.529768024733963,-0.13242385003905166,-0.9081898183349523,0.44138036910782097,0.21438812108377578,-0.9882212000062794,-0.8912287105341576,-0.9415392700061729,0.8258734300336563,-0.676673608243138,0.6852102402083599
