,State,County,Unnamed: 0,Tract,Drive,Carpooled,Transit,Walked,Other,MBSA,Service,Office,Construction,Production,IRural,IConstruction,IManufacturing,IWholesale,IRetail,IUtilities,IInformation,IFinance,IProfessional,ISocial,IRecreation,IOther,IPublic
1493,missouri,cole,13679700,11390.050000000001,153640.0,21815.0,645.0,2805.0,1630.0,72780.0,28820.0,51500.0,15980.0,17535.0,2130.0,13950.0,11155.0,3950.0,20025.0,7070.0,5635.0,11465.0,15565.0,35200.0,13450.0,9095.0,37925.0
1494,missouri,cooper,4561150,237575.0,28225.0,7255.0,315.0,1180.0,430.0,11785.0,7295.0,8585.0,5030.0,6575.0,1595.0,3205.0,4925.0,795.0,4375.0,2150.0,460.0,2730.0,1335.0,8405.0,4090.0,2095.0,3110.0
1495,missouri,crawford,5474205,135070.3,35580.0,9910.0,120.0,1005.0,315.0,8875.0,8650.0,11935.0,7875.0,12700.0,1155.0,5565.0,13060.0,1385.0,7000.0,1950.0,325.0,1285.0,2415.0,8585.0,3065.0,1970.0,2275.0
1496,missouri,dade,1824935,48015.0,12125.0,1230.0,25.0,855.0,330.0,3590.0,2775.0,3440.0,2145.0,3670.0,1760.0,745.0,2535.0,1100.0,2035.0,880.0,165.0,790.0,735.0,2975.0,765.0,570.0,565.0
1497,missouri,dallas,2737590,72030.0,26350.0,4795.0,215.0,750.0,80.0,8020.0,4610.0,7705.0,5475.0,9355.0,1750.0,3455.0,5495.0,1040.0,5465.0,2735.0,485.0,1685.0,1590.0,7260.0,1775.0,1110.0,1320.0
1498,missouri,daviess,1825185,47015.0,12800.0,3465.0,0.0,290.0,470.0,5310.0,3215.0,3930.0,2800.0,3340.0,2435.0,1960.0,1790.0,485.0,2905.0,845.0,160.0,795.0,515.0,3575.0,1005.0,865.0,1260.0
1499,missouri,dekalb,1825285,8015.0,19140.0,2550.0,35.0,310.0,245.0,6920.0,5100.0,5195.0,3115.0,3560.0,1615.0,2050.0,2015.0,890.0,3115.0,1320.0,350.0,1730.0,765.0,4255.0,1485.0,1580.0,2720.0
1500,missouri,dent,3650870,192050.0,24850.0,3695.0,0.0,450.0,1125.0,8105.0,5915.0,6635.0,4455.0,6425.0,3105.0,1885.0,3205.0,1585.0,4845.0,1675.0,350.0,1205.0,1155.0,7775.0,1770.0,1480.0,1500.0
1501,missouri,douglas,2738415,142540.0,19880.0,2220.0,25.0,850.0,280.0,5850.0,4310.0,5110.0,4530.0,5335.0,1720.0,2195.0,4005.0,580.0,3775.0,1690.0,510.0,920.0,930.0,4505.0,2020.0,1595.0,690.0
1502,missouri,dunklin,9129675,180275.0,45100.0,7505.0,35.0,625.0,600.0,13215.0,12680.0,11195.0,6515.0,12150.0,2980.0,2980.0,10305.0,735.0,7740.0,3490.0,605.0,2285.0,3505.0,13965.0,2140.0,2230.0,2795.0
1503,missouri,franklin,15526185,680525.9000000005,195605.0,29265.0,0.0,3310.0,1015.0,65830.0,37620.0,54360.0,34035.0,50020.0,2655.0,26105.0,52345.0,5765.0,27920.0,11375.0,3675.0,11315.0,16220.0,46520.0,19190.0,11560.0,7220.0
1504,missouri,gasconade,4567900,240075.0,27885.0,4275.0,185.0,1050.0,400.0,9460.0,5390.0,8520.0,4710.0,8070.0,1200.0,3035.0,8100.0,1200.0,4300.0,1830.0,395.0,2225.0,1155.0,6855.0,2540.0,1385.0,1930.0
1505,missouri,gentry,1827335,96015.0,11575.0,2055.0,90.0,670.0,195.0,4460.0,2490.0,3600.0,2340.0,2715.0,1965.0,965.0,2055.0,460.0,2525.0,805.0,155.0,575.0,695.0,3635.0,465.0,555.0,750.0
1506,missouri,greene,56696985,9446.95000000002,538375.0,58940.0,4065.0,18120.0,9055.0,213900.0,121240.0,193230.0,55330.0,80445.0,4025.0,41685.0,56690.0,26000.0,91480.0,34965.0,14385.0,43900.0,59245.0,165855.0,67040.0,39615.0,19260.0
