,County,Hispanic,White,Black,Native,Asian,Pacific,Poverty,ChildPoverty,Professional,Service,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,eff_score,minsPerVote
39,collin,14.838815789473689,60.51381578947369,8.676315789473685,0.3375,12.989473684210527,0.06315789473684211,7.651973684210525,9.63684210526316,52.51315789473682,11.953289473684206,1.040789473684211,0.8953947368421055,1.3407894736842108,8.026973684210526,27.7092105263158,84.00921052631578,9.751315789473681,6.06644736842105,0.16644736842105265,4.8723684210526335,0.3696659368981892,22.17995621389135
40,colorado,28.2,58.7,12.7,0.16,0.16,0.0,15.2,17.3,28.48,17.02,1.3199999999999998,1.64,0.16,1.7,21.42,72.97999999999998,17.04,9.080000000000002,0.92,3.98,0.3632577166232801,21.795462997396807
41,comal,26.929166666666664,68.88333333333334,1.7333333333333334,0.15,0.7708333333333336,0.012500000000000002,9.42083333333333,13.129166666666668,36.91666666666666,16.945833333333333,0.10416666666666667,1.1,1.3749999999999998,7.583333333333332,30.65,77.48333333333333,12.637500000000005,9.520833333333332,0.3541666666666667,4.954166666666667,0.5366029138437556,32.19617483062534
42,comanche,27.3,71.05,0.375,0.1,0.30000000000000004,0.0,23.075,39.85,26.375,15.125,0.0,2.85,1.0,3.5,22.95,72.875,14.425,12.15,0.5249999999999999,4.725,0.7054980947196516,42.3298856831791
43,coryell,17.34736842105263,61.563157894736825,13.915789473684207,0.431578947368421,1.7105263157894737,0.6736842105263159,17.12222222222222,27.155555555555548,25.889473684210525,24.97368421052632,0.5947368421052632,5.315789473684212,2.6263157894736846,2.8947368421052633,21.0,61.04736842105264,34.72105263157894,4.063157894736842,0.16842105263157894,9.105263157894736,70.14006354782879,4208.4038128697275
44,cottle,28.1,59.9,10.5,0.2,0.0,0.0,22.7,39.1,31.4,22.6,0.0,9.6,4.0,2.2,15.1,56.4,28.9,14.0,0.7,7.5,0.5423728813559322,32.54237288135593
45,crane,60.0,35.7,3.5,0.7,0.0,0.0,13.1,16.3,19.0,19.4,0.6,2.0,1.4,0.0,23.0,82.2,13.9,3.9,0.0,5.2,0.2880720180045011,17.284321080270068
46,crockett,61.8,36.7,0.3,0.0,0.0,0.0,17.5,30.4,21.6,17.5,0.0,3.5,0.0,1.6,21.1,77.4,16.3,6.2,0.2,1.8,0.2303078768492603,13.818472610955618
47,crosby,53.93333333333334,40.96666666666667,3.5,0.0,0.0,0.4666666666666666,22.73333333333333,34.93333333333333,28.566666666666666,19.0,0.0,2.966666666666667,3.9,1.4333333333333331,22.23333333333333,72.56666666666666,17.3,9.633333333333333,0.4666666666666666,9.500000000000002,28.84067796610169,1730.4406779661015
48,culberson,78.4,19.2,0.4,0.5,0.0,0.1,29.7,41.7,20.1,32.2,0.2,2.9,3.0,2.2,11.0,74.7,19.1,6.2,0.0,6.5,0.6301050175029171,37.80630105017503
49,dallam,34.1,61.7,0.75,1.2000000000000002,1.0,0.0,14.8,21.5,24.5,21.45,1.0,1.75,2.95,2.85,12.65,74.95,13.25,11.55,0.25,3.9,0.06315789473684211,3.7894736842105265
50,dallas,37.65180265654644,33.94990512333965,20.908349146110066,0.17077798861480076,5.423908918406067,0.044971537001897516,19.265654648956332,27.65502846299809,32.563757115749546,18.40151802656548,3.3519924098671723,1.5400379506641355,2.0521821631878545,4.144592030360533,26.29790874524713,84.10796963946859,9.136812144212524,6.595445920303611,0.16129032258064513,7.710815939278937,11.533158290357143,691.9894974214286
51,dawson,52.075,40.95,5.25,0.25,0.7500000000000001,0.025,17.1,18.175,22.225,18.15,0.275,1.75,1.75,2.6500000000000004,15.849999999999998,68.0,20.925,10.95,0.1,9.375,0.4280254777070064,25.681528662420384
52,dewitt,32.7,58.76000000000001,7.979999999999999,0.08,0.08,0.0,14.78,20.6,29.5,19.0,0.04,2.3200000000000003,1.3,4.32,23.04,72.52,17.439999999999998,9.8,0.24,6.4,0.2753931151721207,16.52358691032724
53,delta,7.0,80.0,9.35,0.4,0.8,0.0,24.35,42.4,33.05,14.9,0.0,3.4,1.75,2.25,29.75,73.15,16.45,10.4,0.0,14.3,0.07191245440333507,4.314747264200104
