,State,County,Registered Voters,Votes Cast,Polling Locations,Poll Workers,Population,WhiteP,BlackP,HispanicP,AsianP,IndianP,IslanderP,Hours,registered_turnout,registration_rate,time_to_vote
49,arkansas,sevier,6742,3226,9,54,17058,62.22341504145047,4.300113317826684,31.132581857219535,0.3697739607562474,1.9562235343233731,0.011928192282459593,12.0,0.4784930287748443,0.39523977019580253,51.90151290418274
50,arkansas,sharp,11122,5713,9,78,17264,96.47874904473578,0.5408265240138734,1.7047792604785137,0.2880489095291282,0.9699606137205335,0.011757098348127682,12.0,0.5136666067254091,0.6442307692307693,45.445063837439314
47,arkansas,st.,12415,5918,15,90,28258,42.817324185248715,52.108347627215565,4.105917667238422,0.4752715837621497,0.4574042309891366,0.03216123499142368,12.0,0.47668143374949656,0.4393446103758228,78.29238824003221
51,arkansas,stone,8132,4451,2040,77,12394,97.54460631854641,0.0900311016532984,1.2849893599607138,0.36830905221803895,0.6793255852021608,0.02455393681453593,12.0,0.5473438268568618,0.6561239309343231,13907.722577471717
52,arkansas,van,10556,6345,21,118,17295,95.7909587913703,0.3997413438363411,2.7923108576803246,0.3350773029216389,0.6642760566692141,0.011757098348127682,12.0,0.6010799545282304,0.6103498120844174,169.0185676392573
53,arkansas,washington,133455,66531,46,378,203065,75.81023931288689,2.9462790592423853,15.819089715932233,2.2201437184767254,1.0912144663860688,2.1125308632663016,12.0,0.49852759357086657,0.6572033585305198,93.8095987411487
54,california,amador,26086,17784,27,112,38091,81.90325096130576,2.5733415794993144,12.788727849632954,1.0782758342520635,1.4789319422409852,0.17478286590120734,13.0,0.6817449973165682,0.684833687747762,90.4209154335659
55,california,butte,148710,90118,38,470,220000,77.87790561164594,1.4806292556938248,14.611880723174453,4.228222587461845,1.6031932378492604,0.19769899037332705,13.0,0.6059982516306907,0.6759545454545455,93.6776275973371
56,california,calaveras,33226,21922,16,149,45578,86.00342589253515,0.8113956004327443,10.599981968986658,1.2170934006491163,1.203570140641904,0.16227912008654888,13.0,0.6597845061096731,0.7289920575716354,55.96580990790345
57,california,colusa,8834,5815,10,42,21419,40.44030802664525,0.7936882883734114,55.76605092833184,1.3039164737563191,1.4031275098029952,0.2881844380403458,13.0,0.6582522073805751,0.4124375554414305,37.08399366085578
58,california,contra,680375,423348,269,1905,1049025,49.77349355669976,9.340684866918195,25.261176805502977,14.873313557470755,0.3009871786381146,0.4502451884061122,13.0,0.6222274480984751,0.6485784418865137,587.48058056219
59,california,del,16000,8439,2898,63,28610,67.24717274271056,3.8046031000469704,18.401560862810275,3.4107742891209303,7.034721971311918,0.09755392564223002,13.0,0.5274375,0.5592450192240476,8900.4825
60,california,el,131902,90730,61,389,181058,82.28580504628789,0.7425349428208387,12.408672172808132,3.5226447631149034,0.8871846070067163,0.15259121437647485,13.0,0.6878591681703082,0.7285068872957837,140.3209958908887
61,california,fresno,520783,256972,278,1855,930450,33.46280750571322,4.9610757795500025,51.156141698807524,9.634823816398775,0.6652582616289046,0.11978364625353695,13.0,0.49343392545455594,0.5597108925788596,772.3719860287298
62,california,glenn,13337,8441,4,44,28122,56.951369318592384,0.6973047185490281,38.07717320615651,2.4568249150950217,1.7342293518317795,0.07948551195895658,13.0,0.6329009522381345,0.47425503164782024,10.293169378420934
