,County,State,Total Pop.,VAP Males,VAP Females,Pop. 20 to 24,Pop. 25 to 34,Pop. 35 to 44,Pop. 45 to 54,Pop. 65 to 74,Pop. 75 to 84,Pop. 85+,Race Total Pop.,White,Black,Native,Asian,Islander,Other,Pop. 0 to 9,Pop. 10 to 19,Pop. 55 to 64
521,Blount,TN,131349,48539,54317,7733,14515,15358,17566,15985,8663,2520,131349,126248,4743,1244,1665,0,771,15311,14932,18766
716,Sevier,TN,97892,35689,39214,4853,11796,11264,13539,11832,5337,1991,97892,96735,413,348,570,0,602,10269,12497,14514
523,Putnam,TN,78843,30198,31142,8160,9988,9872,8921,7324,4118,1759,78843,73475,2365,1096,1148,0,1969,8367,10677,9657
524,Sullivan,TN,157668,60141,65615,8813,17691,17616,22271,19684,11388,3729,157668,151604,5687,1187,1544,0,1080,15509,18722,22245
312,Bradley,TN,106727,38191,41853,8117,12918,12906,14683,10508,5300,2214,106727,97216,7126,1049,1422,323,3484,11106,15327,13648
313,Greene,TN,69087,26999,28782,4291,7311,8411,9440,8574,5075,1160,69087,66475,3154,0,0,0,796,6239,8566,10020
818,Anderson,TN,76482,28964,30552,4413,9132,8561,9605,8791,5024,1490,76482,71739,3872,658,1375,0,646,9016,9210,11240
314,Maury,TN,94340,32801,36462,4467,13550,12107,12567,8771,4624,1344,94340,80956,12637,779,1133,0,1202,11452,12643,12815
315,Wilson,TN,140625,49636,53721,6547,16089,20408,19821,14078,6659,1761,140625,127354,11687,590,2888,0,2328,18224,18747,18291
622,Shelby,TN,935764,306272,358854,63476,138536,117294,116351,78438,33635,14963,935764,380616,514299,5169,29607,605,22469,125850,130323,116898
522,Knox,TN,465289,169842,187151,41154,63941,57827,59309,43474,21912,7891,465289,406882,46231,3908,13589,720,5744,53836,57664,58281
212,Victoria,TX,92035,31625,33722,5423,12215,10972,10950,8370,4754,1811,92035,83267,7782,771,1346,0,1971,11188,15186,11166
718,Hunt,TX,96493,33635,35789,6248,11166,11768,12062,8756,5025,1003,96493,78622,8473,1960,1738,0,6300,11661,15480,13324
719,Montgomery,TX,590925,187449,197177,34082,75166,81263,79999,49292,23511,5611,590925,523030,35749,5863,22063,1426,18859,81576,88478,71947
720,Parker,TX,138371,49933,51279,6779,17194,16502,19264,13043,6363,1950,138371,131850,3170,3296,1377,0,1578,17819,20595,18862
721,Wichita,TX,132064,50562,47500,11494,19296,16221,13262,10811,6000,2351,132064,107396,16007,2444,3972,321,6224,16031,20321,16277
316,Bastrop,TX,86976,29043,29491,4981,9319,10933,10828,8145,3567,596,86976,57516,8014,341,872,0,22213,11277,14188,13142
317,Bowie,TX,94324,34163,34203,5832,12958,13662,10545,8901,5001,1410,94324,65871,24892,1299,1541,0,2366,11441,12816,11758
319,El Paso,TX,840758,255256,259213,69120,126431,104442,96283,58474,31910,12670,840758,676823,35015,12668,16191,1614,125104,121422,132335,87671
320,Harrison,TX,66726,22319,23910,4879,6809,8843,6981,6729,3004,1144,66726,53274,14131,591,0,0,0,8339,10884,9114
321,Hays,TX,222631,78919,82729,28690,32289,28938,25577,15966,6935,1943,222631,204093,10933,2418,5457,0,7239,27835,32081,22377
203,Ector,TX,162124,50864,49762,11107,26971,20845,17565,9074,4836,1261,162124,129137,10181,1131,2376,0,23059,28875,25162,16428
204,Gregg,TX,123707,41013,45776,8395,16601,15002,14023,10948,5199,2827,123707,95202,26438,1017,2058,0,806,15821,19431,15460
205,Johnson,TX,171361,61245,61830,10153,20822,23214,23012,14267,7872,1534,171361,158255,8243,1904,2867,0,4453,25431,23181,21875
206,McLennan,TX,254607,85013,92997,26264,33860,30179,25985,21315,10808,4459,254607,207089,39658,2394,5797,0,4818,33164,40089,28484
322,Nueces,TX,362265,123937,130216,23801,52441,47289,40723,31740,15110,5881,362265,331109,14677,2024,10287,679,8116,48768,52291,44221
211,Tarrant,TX,2084931,652695,704290,139251,311489,284950,270585,144190,64286,27000,2084931,1429107,379904,33139,137017,6630,178152,297698,306653,238829
210,Smith,TX,230221,75861,86799,15704,30454,27334,27210,21696,12721,3171,230221,180294,43412,3144,4559,0,4301,31406,32202,28323
209,San Patricio,TX,66893,23471,23894,5036,7909,8569,7780,6051,3141,843,66893,62973,1316,344,988,0,2090,9745,9817,8002
208,Rockwall,TX,100657,34405,36335,4659,11622,17706,13464,7624,3424,1234,100657,87990,7159,962,3949,0,3993,13966,15250,11708
207,Nacogdoches,TX,65711,22263,24148,7668,7132,7177,7003,5704,2979,867,65711,51434,11820,1093,1132,0,1852,8722,11139,7320
318,Brazos,TX,226758,80404,80980,42569,36291,25275,20258,12805,6882,1309,226758,183615,26913,1497,16093,0,4143,26429,36026,18914
419,Jefferson,TX,255001,88709,87080,17403,37128,33631,30084,20168,11284,5126,255001,153167,86886,2642,10983,0,6785,33065,34963,32149
422,Taylor,TX,137640,47847,50988,14707,17863,16741,13043,9952,6828,2620,137640,106640,12468,1813,4754,0,16022,18514,21888,15484
528,Randall,TX,136271,48570,51163,9366,19137,16955,16545,11961,6052,2606,136271,126518,5301,1425,2877,1150,2524,17292,19789,16568
623,Angelina,TX,87092,27784,30881,5425,10133,10475,11431,7824,4100,1972,87092,69874,13460,1636,1049,0,2013,10675,13787,11270
822,Hidalgo,TX,865939,209843,212957,65787,116806,109162,95222,53503,31970,10542,865939,762664,5426,2096,9218,0,98024,152561,158203,72183
821,Guadalupe,TX,163694,57645,60838,8691,20951,22350,22788,13907,6356,1829,163694,135030,16688,1869,4763,0,10110,22662,24447,19713
820,Comal,TX,148373,53863,55572,8069,16852,18675,19211,16771,6308,3363,148373,141813,5069,989,2863,0,2700,18262,19150,21712
819,Bexar,TX,1986049,648124,683538,146167,316666,268220,236977,144102,70600,25750,1986049,1660321,179860,29078,76343,4544,106984,273154,294566,209847
626,Henderson,TX,82299,29272,31904,4877,9068,9145,9085,10249,6309,1561,82299,76163,6612,299,657,0,370,9535,10148,12322
627,Tom Green,TX,118189,43224,43710,9701,18484,13547,12088,10993,4572,2322,118189,107103,5517,1179,2074,678,3725,14789,17997,13696
529,Travis,TX,1248743,421181,423688,82762,250556,199730,159266,79943,29851,13640,1248743,931431,118521,24235,106199,2395,116804,151562,150702,130731
717,Coryell,TX,74808,27435,28185,8414,12135,10848,9340,4391,2358,550,74808,59449,14800,3302,2557,602,858,9116,10402,7254
527,Potter,TX,119648,38433,35768,8680,17764,14197,15377,7825,4065,1748,119648,94498,14010,2232,7514,0,4003,18180,17453,14359
526,Kaufman,TX,128622,42539,43792,6323,17241,19046,15674,9169,4234,1622,128622,108520,17324,1806,2098,0,2315,18763,21527,15023
525,Denton,TX,859064,279981,300333,55466,127316,132043,124480,56137,22487,8514,859064,661495,99362,11499,92268,1536,29994,112821,123103,96697
90,Brazoria,TX,370200,126993,123126,22523,47818,58135,48002,27924,12109,3623,370200,263560,56511,3803,27771,417,25787,53372,54155,42539
91,Collin,TX,1005146,301303,330777,58065,128342,160155,151235,70111,29690,10644,1005146,707589,112469,11442,173553,2703,31596,129254,155484,112166
624,Fort Bend,TX,787858,233552,247717,44845,94937,120330,111164,57913,21738,7629,787858,424847,170320,6495,170822,0,36236,113721,122167,93414
92,Dallas,TX,2637772,728195,794973,183880,435635,362746,326863,173179,78579,31424,2637772,1642653,628526,26327,190174,4986,209472,385986,371771,287709
424,Webb,TX,275910,70128,74044,21805,37593,34792,31342,14818,8589,2596,275910,267301,2151,686,1673,0,5724,48679,51880,23816
423,Walker,TX,72480,32685,24769,11280,7826,11170,9638,5886,2327,1013,72480,53856,16482,462,1965,0,239,6017,8911,8412
823,Midland,TX,172578,54179,55501,10478,30275,24514,17803,10396,5471,2333,172578,146691,14411,3526,5401,0,7244,28217,25173,17918
421,Lubbock,TX,307412,107615,115143,37452,43817,37250,30614,21476,11725,4398,307412,259125,26080,4732,9885,1024,17410,42085,45939,32656
420,Liberty,TX,86323,28909,31423,5316,12455,11526,10364,7064,3215,603,86323,67465,9884,0,210,0,8752,12010,13212,10558
418,Harris,TX,4698619,1328657,1417201,313976,755930,671372,585649,309174,135707,49533,4698619,2958387,945070,46539,373105,10863,486091,688930,684047,504301
417,Ellis,TX,179436,60763,64172,11815,22480,24181,23735,13642,6971,2147,179436,152470,21158,5650,1967,116,5000,25899,26551,22015
416,Cameron,TX,423908,111299,121942,30836,51875,52463,47248,32361,17345,8300,423908,405067,3268,1264,3950,286,12430,69525,72843,41112
824,Orange,TX,83572,29621,31777,5520,10779,9740,10262,7618,3985,1730,83572,74051,8254,753,1215,0,502,10965,11658,11315
825,Wise,TX,68305,24262,24617,3562,7812,8472,9388,6176,2798,1096,68305,63455,1941,994,0,0,2936,8648,10694,9659
415,Bell,TX,355642,118191,122877,30215,58261,46164,39044,23177,12418,3064,355642,238543,102028,5145,14953,5972,9563,56480,52258,34561
93,Galveston,TX,337890,114248,123185,20126,45186,45180,43386,31210,13106,4419,337890,275872,46629,4530,13853,0,8308,43141,46959,45177
94,Williamson,TX,566719,184625,199786,30524,79002,92783,76743,43077,18270,7312,566719,472199,46692,7852,48523,2162,18148,77519,82308,59181
625,Grayson,TX,133991,46592,52215,8328,16350,15854,16127,14025,7060,2521,133991,119521,10830,3943,2695,0,3173,15072,20072,18582
213,Utah,UT,622213,196703,195382,78557,88756,79771,51427,28779,14808,4479,622213,584647,7858,6784,19116,10624,15656,114225,119865,41546
628,Salt Lake,UT,1152633,376445,380430,81119,190601,169635,128138,76748,36431,12282,1152633,927936,30472,18493,65234,25585,131938,171802,170244,115633
95,Cache,UT,127068,41425,41941,18250,17787,14986,10314,6693,3664,1174,127068,118512,1672,1354,4410,799,3655,22577,21345,10278
323,Washington,UT,171700,59397,63341,10206,20512,20591,15568,20852,11918,4525,171700,160642,1666,2794,2724,1983,4840,23870,25193,18465
425,Weber,UT,256359,86801,87691,17847,38470,35776,27627,18226,8070,3266,256359,238924,5799,3601,6270,2512,10491,40197,39085,27795
96,Tooele,UT,69907,23119,22493,4250,8724,11209,7630,3834,1856,669,69907,63702,298,2073,1109,0,5550,10723,14344,6668
530,Davis,UT,351713,116243,116730,22749,49303,52836,36237,21801,10733,3139,351713,331263,6854,3910,12040,3766,6036,60685,61630,32600
216,Alexandria city,VA,160530,49785,57910,7056,33437,31188,20085,11544,5035,3016,160530,107953,40474,529,14875,350,6270,19297,13392,16480
98,York,VA,67846,24237,25499,3606,8286,9501,7628,7097,2868,1571,67846,53538,11171,551,5024,1119,1333,8508,9847,8934
97,Prince William,VA,468011,145271,148668,29290,62604,71102,67189,29185,13998,3331,468011,298868,112183,5739,53177,962,32144,67659,71131,52522
826,Hanover,VA,107239,39255,42634,5938,11663,12197,15882,10985,5605,2297,107239,94420,10691,808,2715,0,479,11315,15293,16064
827,Loudoun,VA,406850,123701,129003,20980,48241,69708,63778,22929,10924,3868,406850,279967,37463,2967,90016,904,22445,60344,63601,42477
214,Frederick,VA,88355,31545,32708,4490,10297,11333,12223,8804,4624,1733,88355,81513,5552,187,2414,0,991,10553,12182,12116
215,Stafford,VA,149960,53417,52108,10612,19751,21521,21531,10389,4275,742,149960,104820,31974,2149,8327,0,11476,20193,23115,17831
217,Suffolk city,VA,91185,32248,35683,5624,11951,11594,12803,7822,4034,1289,91185,49365,39945,2031,2783,0,2294,11735,11905,12428
326,Fairfax,VA,1150795,371868,379271,69726,153375,166402,164056,94081,44495,16063,1150795,758162,130930,11761,256856,3305,55034,147200,148597,146800
724,Montgomery,VA,98985,41612,37732,18585,13909,8982,10613,7235,3302,1606,98985,86039,5022,0,7762,0,841,7067,17529,10157
726,Hampton city,VA,134313,48950,54471,12393,20709,14893,15392,12090,5781,2824,134313,60292,71769,760,5084,803,2535,14481,17324,18426
727,Richmond city,VA,228783,83202,97248,19536,50447,27896,24378,18282,6998,4933,228783,113866,110638,2017,6975,198,2320,22599,25522,28192
728,Roanoke city,VA,99920,33733,40125,5867,15504,13744,11332,10452,3402,3051,99920,66093,32563,0,3824,0,1371,14187,9697,12684
433,Virginia Beach city,VA,450189,162711,172945,32323,74610,59414,55363,37443,18610,7798,450189,315151,99191,5640,40939,1514,12246,56112,52701,55815
723,Henrico,VA,329261,107302,126547,19268,46263,44029,44292,30230,13757,7576,329261,197135,103377,4591,31873,0,7450,41594,39993,42259
531,Arlington,VA,237521,84170,85025,17594,56197,40217,28814,14875,6688,3274,237521,176283,24499,2323,30498,1410,14959,26127,20166,23569
532,Fauquier,VA,70675,24563,26868,3360,8986,8456,9519,6857,4180,896,70675,63786,7060,1138,1527,0,740,7708,10434,10279
431,Norfolk city,VA,244076,98749,89011,32698,46944,28127,23950,16571,6779,3921,244076,125400,106523,4117,11980,578,9990,28218,30114,26754
629,Bedford,VA,78747,30148,32246,4443,7889,8088,11529,9920,5011,1760,78747,72802,5735,1214,1275,0,0,8204,8867,13036
725,Chesapeake city,VA,242634,86964,92734,14803,34222,33733,31055,19636,9258,3151,242634,154270,77688,2460,12604,810,5177,32595,31798,32383
630,Spotsylvania,VA,134238,47809,51488,8793,16009,17914,17947,12022,5800,1388,134238,102288,25750,1748,5292,0,6387,17653,19163,17549
429,Rockingham,VA,81244,29604,31979,4969,9331,9240,11050,8363,4891,1955,81244,78148,2669,0,904,0,0,9699,10733,11013
327,Lynchburg city,VA,82126,29615,34896,15507,11348,6402,7152,5911,4310,1685,82126,54733,24580,725,2813,0,1713,10134,11331,8346
428,Roanoke,VA,94073,34300,38980,4832,11650,10892,12561,10884,6723,2084,94073,85918,6245,1138,3704,0,1886,9511,11594,13342
325,Chesterfield,VA,348556,118418,134735,21716,42046,46582,48291,33410,14258,4358,348556,243477,89089,4344,15413,0,9000,43591,48305,45999
324,Albemarle,VA,108718,37606,43326,7803,15024,12124,12160,11638,6460,2866,108718,91370,11091,932,7242,0,0,11677,15364,13602
427,James City,VA,76397,27913,31131,3540,7400,7608,9586,10940,6520,2065,76397,62852,11885,0,3074,689,459,8069,9790,10879
722,Augusta,VA,75457,30812,29512,3532,8609,9259,10320,9242,4930,1927,75457,71009,4396,398,558,0,464,6737,9246,11655
430,Newport News city,VA,178626,62077,69414,14645,29225,21431,20269,13718,7708,1991,178626,90720,81195,1258,8580,816,4834,23144,25143,21352
432,Portsmouth city,VA,94632,33884,37624,6913,15715,11262,11157,8200,4191,1543,94632,41297,50900,3336,1990,0,2097,14086,9870,11695
426,Chittenden,VT,164572,63530,67300,17446,23721,18487,19905,15828,7197,3083,164572,151427,5842,844,9630,0,957,14763,23220,20922
218,King,WA,2233163,761495,771194,133686,410103,335001,293538,177427,79338,38126,2233163,1536482,187779,43590,483733,30199,114878,259144,241068,265732
219,Yakima,WA,251446,71026,74453,17070,33475,29856,27382,20408,10195,3726,251446,197520,4869,14217,5061,474,38806,41685,40032,27617
631,Franklin,WA,94347,26319,23030,5942,15112,12987,10079,5691,2806,670,94347,72194,4769,2805,5046,0,16364,17068,16491,7501
632,Grant,WA,97331,27833,28489,6037,13235,12081,9949,8744,4012,1325,97331,70074,1446,2915,1967,0,24616,14743,16909,10296
633,Skagit,WA,128206,45753,47689,6191,17096,15849,14199,15776,7848,2992,128206,105932,1791,4631,4531,276,15164,15394,15027,17834
828,Clallam,WA,76737,30789,31216,3080,7676,8180,7688,12898,6162,3101,76737,70564,1220,5274,2198,0,335,6753,8097,13102
829,Kitsap,WA,269805,106789,101689,21403,38813,31600,32928,30258,14265,3225,269805,236448,11978,8826,23334,4324,9111,31494,28448,37371
830,Snohomish,WA,814901,284816,286960,46606,120993,116255,110788,68890,28962,12031,814901,655346,40966,22371,113113,8416,31003,101408,99269,109699
634,Thurston,WA,286419,105154,111396,16371,43746,37054,34980,31417,12438,5381,286419,247587,14768,7925,24917,3867,6564,33016,34301,37715
533,Grays Harbor,WA,73901,29392,28065,3687,7958,8689,9177,10090,4673,1549,73901,68628,1760,4948,1646,243,566,7461,9503,11114
434,Chelan,WA,77036,26074,26636,4764,10072,9708,8394,8315,4521,1582,77036,60915,661,1855,1234,628,15433,10912,8069,10699
330,Whatcom,WA,225685,85601,87805,23061,30059,26771,24746,24191,10552,4604,225685,198523,5441,9564,14569,1576,8828,24682,28654,28365
100,Cowlitz,WA,108987,39537,41471,5692,13447,12459,13569,12649,5713,2494,108987,100936,1877,6038,2498,622,3150,12781,15070,15113
101,Lewis,WA,79604,29783,30451,3865,9815,9032,9416,9892,5046,1642,79604,76460,1755,3136,1533,681,2554,8864,10086,11946
102,Mason,WA,65507,26537,24456,4156,7062,6910,7842,9345,3925,1592,65507,56921,1251,3493,1415,798,6104,7287,6776,10612
103,Pierce,WA,891299,318105,324809,58433,138724,119506,110292,75617,34289,13351,891299,715611,91105,28151,90922,23779,26209,120956,109079,111052
329,Spokane,WA,514631,189999,199695,33341,77130,64847,60019,50548,24407,8547,514631,471174,17328,15035,19947,5346,13056,61756,67027,67009
328,Benton,WA,201877,66884,69050,11504,27698,25101,23733,18189,8203,3690,201877,174062,5177,3267,8351,884,17923,29560,29703,24496
99,Clark,WA,481857,169868,178066,27681,65339,64457,63166,46501,20809,7158,481857,430181,16682,11703,31231,7593,13736,60761,64686,61299
729,Island,WA,84460,34253,33778,5617,12234,8769,8538,12673,6296,1834,84460,76303,3096,3551,5670,957,2231,7619,8850,12030
534,Manitowoc,WI,79074,30801,31114,3963,8313,9506,10789,8887,4721,2333,79074,75355,1188,893,2538,0,249,9236,8377,12949
535,Winnebago,WI,171020,67764,66231,14485,22768,20149,21365,15798,7813,4386,171020,160300,6055,1721,6128,0,1022,18973,21613,23670
734,La Crosse,WI,118230,44880,49115,13705,15196,12803,13943,10745,5560,2817,118230,109181,2894,905,6221,0,1045,12177,16361,14923
735,Wood,WI,73055,28507,28829,3646,8230,8332,9066,8175,4874,1891,73055,70737,2162,985,535,0,0,8620,8589,11632
223,Waukesha,WI,403072,148647,158554,22354,41831,50015,54816,42738,22353,9988,403072,376793,9059,2547,17980,599,2540,43651,52555,62771
222,Walworth,WI,103718,38684,39976,8819,11285,11825,12600,10761,4945,2440,103718,99609,1318,695,2541,0,3218,10468,14828,15747
221,Ozaukee,WI,89147,33473,35658,5356,8696,10292,11983,10123,5732,1834,89147,84872,1841,933,2317,0,1255,9460,11593,14078
831,Jefferson,WI,85129,32367,32861,4643,9885,10728,11275,8852,4512,1281,85129,81591,1249,418,1443,0,2636,8772,12564,12617
832,Milwaukee,WI,948201,318725,356165,64385,154783,121326,110409,74510,35261,19165,948201,580589,270664,14586,49515,555,71402,126622,127185,114555
833,Outagamie,WI,187365,69025,71462,11973,25466,24435,24270,15817,8662,3097,187365,171513,4413,3897,7706,0,3649,25862,22219,25564
834,Racine,WI,196584,71202,75147,11203,24210,25269,24945,18925,9775,3701,196584,165899,26436,1311,3117,223,4535,23797,26054,28705
637,St. Croix,WI,89694,32636,33921,4702,9900,12443,12815,7732,3480,1280,89694,87379,1240,744,1688,0,1022,10518,13959,12865
733,Fond du Lac,WI,103066,38849,41149,6271,12461,11821,14302,10855,5187,2970,103066,99348,4464,745,564,0,0,12147,12148,14904
731,Dodge,WI,87847,36492,33091,4473,10503,11706,12354,8632,4318,2621,87847,82159,3264,669,920,0,1865,7963,10984,14293
107,Rock,WI,163129,58805,63243,10318,20248,19191,21547,15816,8111,3224,163129,145911,11010,1093,2838,0,8719,20186,21676,22812
331,Portage,WI,70942,26983,27996,7799,8395,7944,8289,6826,3412,1428,70942,66347,1039,469,2471,0,1582,7194,9993,9662
332,Washington,WI,135693,51213,52787,6657,14790,16839,19463,13929,8028,2397,135693,130001,2614,718,2418,134,2181,15662,17114,20814
106,Brown,WI,263378,94158,97406,17165,33741,33289,34987,23038,12199,4135,263378,236383,10903,9481,9907,259,5837,33900,36340,34584
732,Eau Claire,WI,104534,40530,42229,13957,13479,11497,11080,9766,5093,1830,104534,98376,1998,0,6049,0,0,11407,14038,12387
108,Sheboygan,WI,115456,44522,43855,6287,13993,14195,14906,11966,6038,2692,115456,104728,3637,867,7150,0,805,12367,15760,17252
636,Dane,WI,542364,198798,207912,55217,85908,72416,63563,45480,20416,9041,542364,472861,37197,5599,39508,600,6540,58874,68729,62720
437,Kenosha,WI,169290,61545,65085,11056,21419,20693,24525,14134,6334,3201,169290,150581,15622,1625,3943,0,3682,18678,25321,23929
438,Marathon,WI,135428,51421,51609,7962,15656,16907,17545,13446,7298,3026,135428,124951,1902,1316,8965,0,1381,16321,17543,19724
730,Cabell,WV,93224,35251,38879,9005,12131,10642,10785,9817,5469,1698,93224,86335,5669,1076,1995,0,1169,9722,12138,11817
435,Berkeley,WV,117123,43912,43922,6923,15748,15146,16890,11700,4428,1433,117123,105931,12580,0,934,0,1664,13746,15510,15599
436,Wood,WV,84203,31443,34654,4621,9764,9985,10998,9881,5712,1597,84203,82108,2358,568,719,0,0,9110,10349,12186
105,Raleigh,WV,74254,29239,29299,3965,8114,10487,8603,9377,4870,1245,74254,67248,7711,0,932,0,169,7423,10154,10016
104,Monongalia,WV,106420,43663,42060,16317,17748,13146,11552,7893,3586,1697,106420,98389,5684,686,4792,0,578,9598,14271,10612
220,Harrison,WV,67554,25441,27983,3710,7726,8207,9081,7572,3846,1854,67554,65831,2564,0,0,0,0,7066,8768,9724
635,Kanawha,WV,180454,67980,75692,9783,22328,21728,22326,22025,10940,4694,180454,163747,16811,1193,2566,0,433,20184,18691,27755
109,Laramie,WY,98976,38084,36779,5079,14845,11449,12634,9752,4619,1792,98976,93031,4130,1700,2040,0,1359,12515,13365,12926
439,Natrona,WY,79115,29497,30123,4211,11593,10426,9214,7181,3032,1687,79115,76425,971,1442,947,0,512,9976,10891,10904
