,County,State,Total Pop.,VAP Males,VAP Females,Pop. 20 to 24,Pop. 25 to 34,Pop. 35 to 44,Pop. 45 to 54,Pop. 65 to 74,Pop. 75 to 84,Pop. 85+,Race Total Pop.,White,Black,Native,Asian,Islander,Other,Pop. 0 to 9,Pop. 10 to 19,Pop. 55 to 64
382,Scott,MN,147381,50737,52107,7941,17773,21949,22029,9855,4438,1999,147381,127704,8456,2156,10570,0,1678,21593,22341,17463
273,Blue Earth,MN,67427,25975,26119,10797,9584,7111,6302,5193,2665,1589,67427,62259,3315,527,2295,0,637,7951,9040,7195
274,Dakota,MN,425423,145881,157688,24111,55582,58839,54821,35378,17443,6412,425423,364245,36641,5302,25700,0,10789,56434,56831,59572
275,Ramsey,MN,550210,184553,205283,39359,91902,68688,61123,46131,21759,11530,550210,384410,79671,10620,89660,641,15405,75087,67723,66908
682,Stearns,MN,159256,58348,58715,16551,19267,18021,18515,13349,7148,3498,159256,141349,12577,390,4446,0,3427,19855,24119,18933
45,Anoka,MN,353813,129672,129360,19553,45363,48210,48999,30693,14779,4354,353813,305923,28676,5059,19904,0,6259,44092,48305,49465
46,Carver,MN,103551,35942,37908,5906,11176,14907,15175,7705,4461,514,103551,97732,2811,834,4108,342,553,13470,16598,13639
280,Jefferson,MO,224347,84020,86371,11882,28887,28754,31193,20819,9991,3014,224347,220063,3609,1813,2553,0,1019,26327,29826,33654
781,Boone,MO,180005,64423,70593,25285,28395,20455,17625,13199,5706,3032,180005,153746,20405,3398,10898,0,803,21140,26172,18996
583,Buchanan,MO,88571,34293,32544,5719,12210,10710,11214,9068,3908,2038,88571,80403,6724,1928,1895,0,1901,10325,11251,12128
165,St. Louis,MO,996945,343201,403390,60574,128250,119100,124308,101719,54348,24454,996945,695928,258213,6150,52223,1093,8035,119312,124068,140812
481,Cape Girardeau,MO,78753,28902,31029,8676,9855,8260,9011,7054,3981,1914,78753,71939,7195,519,1682,0,0,9532,10529,9941
482,Jackson,MO,700307,244882,270237,41762,109711,88843,83475,60958,30034,13748,700307,496322,177726,10520,17819,3099,22863,93041,87596,91139
281,St. Charles,MO,399182,146031,154045,24385,51720,54143,51862,35112,17865,6712,399182,365354,24022,3089,13002,0,3419,47892,54096,55395
164,Franklin,MO,103670,39745,39704,5666,13144,11610,13917,10318,5429,2201,103670,102667,1964,677,914,0,0,12693,13180,15512
163,Cole,MO,76796,29092,28806,4663,10413,9390,10583,7917,4004,1053,76796,65658,10234,0,1344,0,0,8894,10133,9746
162,Cass,MO,104954,36909,42164,5496,11078,12790,14580,10353,5692,1949,104954,99185,5733,1324,1456,0,365,13359,14728,14929
166,St. Louis city,MO,302838,112535,122966,22080,60935,40011,34960,25206,11044,5489,302838,149514,142596,2763,13247,613,3301,32946,29929,40238
384,Clay,MO,246365,87574,94057,14102,35885,33132,32660,21151,10392,3298,246365,219230,20289,3994,7845,1313,4355,30864,34332,30549
584,Greene,MO,291923,110228,117824,29281,40699,34100,34042,26967,15530,5816,291923,271912,14102,4984,8471,0,3730,33807,37121,34560
279,Jasper,MO,120636,41819,46874,7643,17863,14570,14062,10633,5754,2312,120636,111586,4125,5264,1894,247,2134,15484,17555,14760
585,Platte,MO,102985,37040,39613,5915,13750,14973,13779,9309,4382,1337,102985,90377,8971,1205,4382,690,1402,12466,13841,13233
282,St. Francois,MO,66692,27834,24427,3680,9196,9107,8839,6583,3199,1561,66692,63060,3372,736,0,0,454,6546,8962,9019
383,Christian,MO,86983,30404,32716,4588,10845,11283,11024,7994,3539,1891,86983,83671,2258,1502,954,0,0,12640,12220,10959
50,Lauderdale,MS,75317,26863,29722,4262,10176,8961,9426,7326,3859,1753,75317,40841,33608,0,798,0,0,10092,9738,9724
278,Hinds,MS,237085,80704,97874,17908,34657,28982,26967,19901,9528,3850,237085,61240,174304,325,2183,0,965,29531,35932,29829
277,Harrison,MS,206650,73567,78373,14859,28392,26351,25171,18652,9491,2845,206650,145427,55835,1214,8020,1231,1466,29032,25134,26723
